"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","DEG_group"
"LOC111104291",10.2775947739344,-26.1202254346783,10.1865049760773,-4.17049329777926,3.03940994656861e-05,0.00231618808451835,0.00861427817198403,"HH"
"LOC111104290",28.3127913226368,-4.25457111793712,4.24144874990268,-3.15396249777025,0.00161069782664453,0.0451764387818675,0.0927343541080161,"HH"
"LOC111103807",34.3796216946434,4.6204473933936,1.71210437187491,3.91427004179219,9.06781091731088e-05,0.00560210398755701,0.00873382638614156,"BH"
"LOC111102617",378.809142809008,-9.28513108586834,2.54723479137583,-4.5056264527524,6.61774154201191e-06,0.000645999537655428,0.000905638824453117,"HH"
"LOC111105493",5.26137076758152,-8.10486904685173,10.4010747983608,-3.14600288496067,0.00165518372990276,0.0459455682962956,0.135266246212703,"HH"
"LOC111104665",25.1766350895658,-7.73582743614748,1.69061910526089,-5.00775696942431,5.50680049662402e-07,7.35248887795118e-05,8.7236351767166e-05,"HH"
"LOC111103312",107.901766447627,-5.13242424652176,1.08838975672229,-4.92351444037633,8.50036010514631e-07,0.000108131943054088,0.000142935492617195,"HH"
"LOC111103478",4.37459420201132,-41.5653109384338,3.54860061033914,-11.9522353275604,6.32020817834443e-33,1.36141497633658e-29,2.5109060883954e-17,"HH"
"LOC111104581",124.267942577629,-2.76936898785476,0.689763752151425,-4.57531118033615,4.75512667071558e-06,0.000493402356829613,0.00209438996934875,"HH"
"LOC111105071",55.5353925673111,-6.14384592444123,1.55408471000755,-4.47131080971137,7.77416162787714e-06,0.000721813035512466,0.000884224424241905,"HH"
"LOC111104719",67.1766834057486,-24.6698544225683,4.23225607293351,-6.04219141695816,1.52034938352127e-09,3.31918979263215e-07,5.33206524932843e-07,"HH"
"LOC111104720",52.5392578666358,-6.29109996061073,2.65808030614784,-3.82586675258537,0.000130312766243184,0.00753226438297589,0.0117944428587517,"HH"
"LOC111105073",14.6092472728635,19.6168505298346,3.69389897125921,5.63171298864513,1.78428443132551e-08,3.3730794785098e-06,5.25711366596554e-06,"BH"
"LOC111103450",671.948808109796,-1.75425326742998,0.835250448503111,-3.95869924922121,7.53590587781391e-05,0.0048698530963609,0.03383021215379,"HH"
"LOC111104842",238.610342740791,5.55356585262155,3.43565121882432,3.50765258347975,0.000452079016421878,0.018607802674659,0.0332234892033373,"BH"
"LOC111105307",280.828491026191,-19.7619516377636,4.11135513375137,-5.21028600077767,1.88549749130208e-07,2.82047728895655e-05,4.56741763951259e-05,"HH"
"LOC111102940",17.8032138326837,-24.6051768933869,1.72363060922927,-14.3428794910183,1.18053762282969e-46,7.62887022625003e-43,0,"HH"
"LOC111104493",98.5215276177985,-6.40299262000926,1.50052616426181,-4.67004340965806,3.01136094087253e-06,0.00032760970828462,0.000395109330656947,"HH"
"LOC111103167",1134.7841683596,1.37545855042507,0.831001368521996,3.7795084394338,0.000157138267622327,0.00850060645383976,0.0677729166052265,"BH"
"LOC111104261",110.696084438724,-4.1348789604143,1.50375103796278,-3.94090527278865,8.11746798702457e-05,0.00513274966983857,0.00843490576578266,"HH"
"LOC111102806",32.0717294275252,-4.18675266840546,0.752860304353738,-5.64295585240224,1.67155219650552e-08,3.19582976457337e-06,1.15590064369226e-05,"HH"
"LOC111105539",6.22657751308968,-16.7776197486937,11.2845680944843,-3.65860758571943,0.000253589283647292,0.0121568595607235,0.0375888617127679,"HH"
"LOC111105244",32.5800378740101,-4.97735264434139,2.47967297679666,-3.64876081571889,0.000263508294263051,0.0125025205520315,0.0204278664891857,"HH"
"LOC111102860",53.978556165795,-3.746614505191,1.19043709057645,-4.10937004265744,3.96739905600067e-05,0.0029002405180642,0.00537705336256158,"HH"
"LOC111104299",85.0065490522847,-3.79551387652158,0.841049848285129,-4.76113857550089,1.92503803046695e-06,0.000222938723306157,0.000479481812455869,"HH"
"LOC111105164",3.61164065446322,-18.2352865770723,12.530804098912,-3.68104569203497,0.000232279370753244,0.0113200282781419,0.0390782742573694,"HH"
"LOC111102787",63.481900879163,-5.54337493933102,2.29874106804633,-3.81749047238259,0.000134815991740376,0.00769618287830969,0.0116453257670506,"HH"
"LOC111105430",882.853611879573,3.46665174556703,2.63283717048862,3.2991105118787,0.00096991719548187,0.0319785658196068,0.0559272325071498,"BH"
"LOC111105167",42.307799072058,2.78883772479778,2.56007341097425,3.14697000882819,0.00164971882294775,0.0458760668864984,0.088739378410044,"BH"
"LOC111105169",22.5868622696614,-4.7628229544414,1.79772710518378,-3.89536212055404,9.80521274785374e-05,0.0060116931517249,0.00928110221199494,"HH"
"LOC111102616",108.784234715698,-6.06495100203606,1.20618688125477,-5.24393977408594,1.57183525708818e-07,2.40699379107944e-05,3.22670670663812e-05,"HH"
"LOC111102383",482.924189432556,7.93365006188452,3.12211608093963,3.95985387404806,7.4995638469039e-05,0.00485608030976577,0.00808349387056536,"BH"
"LOC111105756",28.5121931622211,-5.63299415730851,2.14217731344851,-3.90051161901651,9.59896188710359e-05,0.0058974466999162,0.0087937029808414,"HH"
"LOC111108288",7.98093192323517,1.76365611296101,1.63604235501813,3.19451913923678,0.0014006399763036,0.0414812816446796,0.101166827355329,"BH"
"LOC111109791",31.6934547396535,-1.8851356973263,1.54258372282449,-3.31221340337227,0.000925609100887232,0.0310560197865929,0.0815927652237564,"HH"
"LOC111107517",42.4751801581617,-13.7059351200368,9.94825210470987,-3.56732818839043,0.000360639688403313,0.0157009402315451,0.0420647986440511,"HH"
"LOC111110412",3.86511983438327,-21.5319354640719,2.91901059416956,-7.51554181481248,5.6675717721089e-14,2.0994924061835e-11,3.29239644054466e-11,"HH"
"LOC111109039",12.5475938953534,-21.4853364494481,2.2998849810914,-9.43697801248569,3.8368549248374e-21,3.17878511478003e-18,2.66432259121426e-17,"HH"
"LOC111110150",98.8220438846172,5.21872928267037,1.0042259082488,5.34373215467394,9.10520827041346e-08,1.49339281434177e-05,2.53567123000502e-05,"BH"
"LOC111109701",7.80215997643937,-4.19812594425711,2.8950793215674,-3.38320679865567,0.000716446621916789,0.0257785153683222,0.0438771593073066,"HH"
"LOC111106104",137.456771249561,-5.94746356800213,2.71407946658725,-3.74827456319845,0.000178055277896469,0.00933951961706624,0.0156101159850639,"HH"
"LOC111105874",7.90116578858784,-18.7507258609614,12.4586753739958,-3.70812549430924,0.000208799178264521,0.0104597058122557,0.0369424394894848,"HH"
"LOC111107613",3.3514020547402,-21.4623540900711,3.42662495813155,-6.4561545346481,1.07396943811289e-10,2.71101769647388e-08,2.78874790489762e-08,"HH"
"LOC111106206",56.5089633634736,-20.6274481982216,2.6651811771116,-7.87358480264179,3.44621300713782e-15,1.59072269248043e-12,1.50213759164652e-12,"HH"
"LOC111106132",21.507213590189,-3.05991043652495,2.7655810652016,-3.16026654224079,0.00157624868311966,0.0445117256957199,0.0827393190259093,"HH"
"LOC111110389",46.272029322565,-20.6734161239652,2.79950536734837,-7.53041983204302,5.05774362659819e-14,1.94548517046445e-11,2.6960483376882e-11,"HH"
"LOC111109438",169.001586364746,-3.68042946580623,2.07352672662711,-3.54387545234609,0.000394291461043412,0.016851684689215,0.0292692651723601,"HH"
"LOC111106424",342.665234886361,30.9921783490157,4.47607683611423,7.15463405557869,8.38964249143322e-13,2.79461586124432e-10,2.96497383917015e-10,"BH"
"LOC111107777",93.0337321634345,-1.8932190239098,1.7905260502372,-3.16091794647832,0.00157272795599834,0.0444977346639777,0.101411229799371,"HH"
"LOC111106904",62.8106718335007,-1.27746443015865,1.22501204184366,-3.22643849156087,0.0012534116899372,0.0383876636147496,0.128112361588883,"HH"
"LOC111110583",7.67472277570357,-3.07199815452083,2.52416720558522,-3.23635229789555,0.00121067862999339,0.0375055006842918,0.0679910565144232,"HH"
"LOC111109992",9.88893352273674,-4.93413236023236,3.03584177300005,-3.48704397100571,0.000488391052339969,0.0195302020942534,0.0342854281387189,"HH"
"LOC111105680",52.6221946849408,42.9432606443966,7.09644639124765,6.59684407124602,4.20002083603705e-11,1.11722255148168e-08,7.40674222271337e-08,"BH"
"LOC111108604",82.2428829808561,-2.7755583289293,1.3891220646707,-3.705073026727,0.000211329838268375,0.0105537533296591,0.0255765492479901,"HH"
"LOC111110363",12.2213894423081,19.8962069802626,5.02133495074169,4.65493287207955,3.24086277446093e-06,0.000350219120754539,0.00058054270549524,"BH"
"LOC111109645",289.950999911443,-1.38168007698674,0.745440930818913,-3.93333714610529,8.37746043407303e-05,0.00525600240942396,0.0571533921330533,"HH"
"LOC111108117",25.6290079198979,3.63718594930215,2.5846071184241,3.35220003539375,0.000801720684698502,0.0281569533079275,0.0485030863768692,"BH"
