"X","baseMean","log2FoldChange","lfcSE","pvalue","padj","DEG_group"
"LOC111137246",11.8148042072707,16.4135843128781,4.73047799520548,7.21741455212448e-06,0.00144989839002678,"hc"
"LOC111133159",6.09412418280851,-17.5565807518607,3.29374075650769,5.38433470725906e-08,1.56748021918443e-05,"ch"
"LOC111137636",3.32083552403624,10.2173349842406,9.61191138826116,0.000272295445503121,0.0390791836143384,"hc"
"LOC111136422",386.459254436815,5.98411661392018,4.5848868169736,0.000108372183356593,0.0172351909382671,"hc"
"LOC111133321",28.1876070374062,21.3164118384379,3.7849533280379,8.64833825585718e-09,2.884346755002e-06,"hc"
"LOC111132315",5.36187583867312,16.9268259890477,6.22625155817244,1.9794458464806e-05,0.00373614965485173,"hc"
"LOC111099091",13.5448528131466,3.98435221616627,3.34526873614241,9.93268988116654e-05,0.0160191437933255,"hc"
"LOC111138079",16.2378761744003,18.9995290112469,2.33067850935414,2.1141774976105e-16,2.13606545287988e-13,"hc"
"LOC111135814",229.047509446373,-4.06190220258599,0.659902362065122,7.23377224223208e-10,2.85625912718571e-07,"ch"
"LOC111138168",2.93630805656296,-17.0615441250249,4.62770231972897,5.24853120052845e-06,0.00106684937160091,"ch"
"LOC111132404",22.1949152088235,-45.9368343921016,3.17753778892966,8.85443187112346e-49,4.3452491948119e-45,"ch"
"LOC111138022",46.3989231313133,22.3796616489001,2.73097521428791,1.19027202393249e-16,1.23903710806451e-13,"hc"
"LOC111132504",6.77580479292084,20.7476875969709,3.38726570870241,4.72440538426136e-10,1.88712527628077e-07,"hc"
"LOC111132505",17.6637024541747,19.5037736246626,3.99897759074454,3.41339741442662e-07,8.19979216646037e-05,"hc"
"LOC111136632",195.417077742794,1.21517296781718,0.976857580186489,2.47786832434881e-05,0.00460106663124488,"hc"
"LOC111133862",2.66836259468334,-17.046502786015,3.26999552554284,9.63941459773146e-08,2.58697789266618e-05,"ch"
"LOC111132581",3.82679845162108,-42.2257655136832,3.71461358189757,3.64757318955614e-31,1.25301434207632e-27,"ch"
"LOC111132967",87.8700650158383,24.6502937750457,2.85465757057734,2.34627597923505e-18,2.7792852565063e-15,"hc"
"LOC111133788",156.589490140467,24.7891372707261,3.76654764851188,1.81053402183708e-11,9.28290518181303e-09,"hc"
"LOC111132994",16.0480999459796,-20.4368831313494,2.7041094421712,2.21159399503375e-14,1.68828170927554e-11,"ch"
"LOC111132212",26.771741028623,-46.8831544003218,3.06652516380891,3.18387439548225e-54,2.73431133084016e-50,"ch"
"LOC111134227",5.58837948255275,15.6463333281548,2.29000913819634,5.85771361293221e-12,3.29875701690897e-09,"hc"
"LOC111132776",11.1944080316517,-2.36147091359542,1.97099129655073,5.70011703279633e-05,0.00974181195575221,"ch"
"LOC111100945",6.44815338679791,-19.659093837047,2.22515958944637,5.69671558101906e-19,8.15389890163194e-16,"ch"
"LOC111101368",94.6753537255058,24.5418560933188,4.15551852154462,1.36816262036787e-09,5.22212470387525e-07,"hc"
"LOC111101171",384.127982055233,27.3186679518253,3.98784724932781,2.29857906396499e-12,1.38527698254957e-09,"hc"
"LOC111101255",151.915682354757,-23.8459055100281,3.39158228917874,8.64474961674148e-13,5.71085459296737e-10,"ch"
"LOC111101767",32.253669680347,-15.7233764281431,10.7293304797874,0.000118649060542845,0.0185265114898537,"ch"
"LOC111100764",1.56115068519284,-16.8287786823059,3.76382286705826,1.20682578969572e-06,0.000264056557500811,"ch"
"LOC111101513",2482.15007941144,-9.30813441154128,8.84329505914038,0.000274267337194136,0.0390939069182281,"ch"
