"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","pair","DEG_group"
"LOC111125971",858.76446961829,2.66408912209446,1.98666070086547,4.06629727882393,4.77659978326903e-05,0.0105804827699267,0.051831624225985,"BB vs. HB","HB"
"LOC111125968",19.8717730733851,-1.21948243017623,1.81293881236033,-3.68348390038073,0.000230067821017626,0.0379713405188356,0.144587718132954,"BB vs. HB","BB"
"LOC111123865",3.80316693460179,-20.6982591295202,4.00456248765237,-5.41946339667831,5.97781871031585e-08,2.61385945659252e-05,6.20296306075844e-05,"BB vs. HB","BB"
"LOC111124365",6.37573895048345,16.4606325662019,2.68166090446108,6.24826175554074,4.15045699641223e-10,3.38653571842885e-07,5.88595090419984e-07,"BB vs. HB","HB"
"LOC111124397",13.2007239576919,-2.34222958519365,1.11732376333121,-4.40778988796744,1.04430777899887e-05,0.00270467681623946,0.0149427752585481,"BB vs. HB","BB"
"LOC111126880",5.20388894339251,13.4657445050899,2.74302467341527,5.12463608787466,2.98112965916086e-07,0.000112777139881221,0.000195531371675208,"BB vs. HB","HB"
"LOC111128422",5.11605844805309,15.7379502175659,3.14720877482775,5.20984568405871,1.88997761417553e-07,7.48631250490306e-05,0.000137891953687211,"BB vs. HB","HB"
"LOC111129538",2.4631467162126,-20.5555754011807,3.09794154214038,-6.79474586295466,1.08503626362243e-11,1.21773619866345e-08,1.77158017806039e-08,"BB vs. HB","BB"
"LOC111127722",47.1446793159,3.558772619309,4.14476263178919,3.64367954835572,0.000268768010388076,0.0426846704799817,0.10187357994503,"BB vs. HB","HB"
"LOC111129566",5.99124099959316,-4.23249575257112,3.16023911871837,-3.96026605849972,7.48663045590763e-05,0.015369961025607,0.0504673849242093,"BB vs. HB","BB"
"LOC111129575",2.94413918506391,-19.2364105602856,4.14004462615825,-5.03705505985895,4.72748826755603e-07,0.000171150325247682,0.000308552657769092,"BB vs. HB","BB"
"LOC111129582",7.7075096521728,-20.2290193903454,3.76236180487208,-5.58750910137884,2.30349689512849e-08,1.06241694468604e-05,3.31659223474172e-05,"BB vs. HB","BB"
"LOC111129587",68.3341583273324,-2.3365627619183,2.69796426171474,-3.74738460473355,0.000178687996547784,0.0316374744009629,0.0979411400807415,"BB vs. HB","BB"
"LOC111129387",2.89779512242976,16.101742362257,2.79762744749521,5.87122329061086,4.3259115411969e-09,2.80094453231843e-06,3.28552184104647e-06,"BB vs. HB","HB"
"LOC111129743",4.72751246472963,-21.1540847631453,3.87003229956126,-5.68631631379899,1.29808865093487e-08,6.6052814089999e-06,1.95692026701472e-05,"BB vs. HB","BB"
