"Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.Actual_tissue_growth_mg","GS.Ratio_tissue_shell_mg","GS.P1_trtmt_code","GS.P1_temp_code","GS.P1_DO_code","GS.P2_trtmt_code","GS.P2_temp_code","GS.P2_DO_code","GS.P1_both","GS.P1_control","GS.P1_hypoxic","GS.P1_warm","GS.P2_both","GS.P2_warm","GS.P2_control","GS.P2_hypoxic","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.Actual_tissue_growth_mg","p.GS.GS.Ratio_tissue_shell_mg","p.GS.GS.P1_trtmt_code","p.GS.GS.P1_temp_code","p.GS.GS.P1_DO_code","p.GS.GS.P2_trtmt_code","p.GS.GS.P2_temp_code","p.GS.GS.P2_DO_code","p.GS.GS.P1_both","p.GS.GS.P1_control","p.GS.GS.P1_hypoxic","p.GS.GS.P1_warm","p.GS.GS.P2_both","p.GS.GS.P2_warm","p.GS.GS.P2_control","p.GS.GS.P2_hypoxic","MMgrey60","MMlightcyan","MMblue","MMyellow","MMblack","MMmagenta","MMpink","MMcyan","MMred","MMbrown","MMgreen","MMsalmon","MMturquoise","MMmidnightblue","MMpurple"
"LOC111125225","GO:0007165","lightcyan",0.25066512561964,0.120298366154425,-0.0549063102576971,-0.0309256316992613,0.0965976286416898,-0.0825856654771551,-0.411886511279839,-0.209728368672768,-0.355651037294704,0.0579398132418045,0.0408732456238467,-0.152414579422565,0.0537097727251184,-0.369463714950106,0.13087820804657,0.282159218030987,-0.0365505016864298,0.0159510668148363,0.253354769820115,0.603178846793049,0.769795391600025,0.359662560907727,0.433837637341654,4.51755974930575e-05,0.0448014042862792,0.000503055117877097,0.583278660504289,0.698871802080676,0.146944262379798,0.611110013058878,0.000289582564642471,0.213671637728395,0.0064306086415042,0.729416102789215,0.106648881837727,0.395837537796673,0.163045438108817,-0.00589287626604894,-0.515795662927542,-0.372405661653447,-0.193606906930779,-0.182663673881041,-0.339770387321798,0.342625967874897,-0.0321934551198796,-0.0534606631359565,0.0877845427010369,-0.317771095597215,-0.0529306091737706
"LOC111125227","GO:0005886","red",-0.331310593385764,-0.287136822602136,-0.0487144853679116,-0.086731945764436,-0.143657025472851,-0.0242810854037078,0.214383980698492,0.144081802009389,0.167670485825101,-0.0522063541453819,0.142484119015636,0.0233967256398268,-0.112864390968738,0.335783802114751,-0.171877364537771,-0.0196045266575463,-0.149126802652277,0.00125535462034218,0.00551748193649323,0.644699398491566,0.411031383254259,0.171886283025803,0.818289505295952,0.0401590941636066,0.170608844571218,0.110136038577235,0.621139176351374,0.175450109813497,0.82480009273396,0.284087241461695,0.00106696937454729,0.101366324244019,0.85284722182201,0.155967879115111,-0.0532602801805609,-0.259755395233449,-0.0263574036008665,-0.026189476752146,0.283878830908731,0.218522388880615,0.144580715816983,0.372325610080035,0.500133223325158,-0.250688658800201,-0.0270073626468305,0.0991306330366893,0.080198902211526,0.0265648056288432,-0.0310436481397665
"LOC111125228","GO:0005912;GO:0007156;GO:0007157","red",-0.217093128010104,-0.230717971347382,-0.137287783908542,0.0352320340647904,-0.134727688381342,0.106428065180678,0.248350396203586,0.137405668657925,0.208973823514254,-0.0213225563971775,0.0117021894828294,0.143867944825699,-0.13269749761591,0.259848420705677,-0.103536705148873,-0.138372219950396,-0.0225408225297773,0.0376473626478971,0.0269214215951812,0.191891971811754,0.738819618788798,0.200390192801524,0.312621751938755,0.0169841736535778,0.19150702963304,0.0455941434741363,0.840115784524226,0.911844281368641,0.171251104445609,0.207318934311007,0.0123693413417689,0.326024129102052,0.188371889564132,0.831112493858249,-0.200165737229534,-0.227779283634959,-0.0944546745870242,0.108151479380895,0.227085601188558,0.111479131527835,0.146324564155339,0.17945270879006,0.421664420117597,-0.165529532561262,-0.0967425788695861,-0.0664840834117791,0.153367769618721,0.167451213239281,0.130440104955974
"LOC111125229","GO:0000993;GO:0003682;GO:0005634;GO:0010506;GO:1904263","brown",-0.110167509067526,-0.139223101183054,-0.0266373660682926,-0.0797409130941305,0.0950331767734292,-0.135906109801053,0.204189373579489,0.136830279322093,0.159897056110485,-0.0353671782916872,0.0123193797240485,-0.122054240108218,0.142567246224102,-0.0108549664303845,0.16651212315366,-0.358843214903428,0.198603999417029,0.295825200890455,0.185642896199665,0.801003934571359,0.449892165755368,0.367532558528326,0.196445472654803,0.0508955289184285,0.193391211372381,0.12787802315847,0.737853953450238,0.907214967980648,0.246441569530532,0.175195760693453,0.918203747609455,0.112651402616632,0.000443750631493214,0.0577160150665069,0.139626018169382,-0.0911342911001635,-0.61727216945487,-0.238365415283211,0.188165564100661,-0.355746372466664,0.0532650630107141,-0.0197462963621346,0.172567762178669,0.550004493337216,0.478940411184145,-0.152448054995097,0.0651115388926194,0.476905362968362,-0.0551279843359664
"LOC111125232","GO:0004222;GO:0005886;GO:0006509;GO:0007219","black",-0.150101105645186,-0.0925646319113077,0.00648762725550135,0.0650132594125737,0.0416308419942052,0.051235024479323,0.199895840764654,0.0578592987272575,0.194545799773499,0.073487339849249,-0.0348273102592573,-0.013243845404633,-0.0239821836300293,0.128168172895675,-0.0623478444237345,-0.163861187534408,0.0961033149159906,0.153251757679571,0.380163177107115,0.951059001494101,0.53808519898841,0.693566060859085,0.627655984585355,0.056075555500459,0.583802938276573,0.0631261474361415,0.486322032389166,0.741713967848658,0.900286737281269,0.820488642133711,0.223388793804902,0.554910544396493,0.11857527002706,0.362137888356313,-0.110614789246685,-0.405543510186659,-0.208059126325203,-0.207456127559558,0.425450575696632,0.320129921536191,-0.0781421186909687,-0.0219051394403786,0.130036342132505,-0.156772416344925,0.214863331371621,0.111972636840744,0.00792612309226358,0.038594661996897,0.106779447813323
"LOC111125235","GO:0005509","pink",-0.0482151609336866,-0.0437469510625646,-0.0923751892709446,-0.137536416939565,0.0502275766062265,-0.177553811539701,0.222991734037644,0.178063159435582,0.160317815342779,-0.102501581058916,0.0460028713906571,-0.104000681139352,0.156763154882103,0.32853780799751,-0.125974418868839,-0.0582399950772437,-0.150286225261913,0.648098004399068,0.67882488347357,0.381143198267787,0.191080736379841,0.634445407223509,0.0904110721178289,0.0326306296456806,0.0894757360148255,0.126864917721089,0.330910215250604,0.66324183550935,0.323849072963606,0.135619462978757,0.00138679777021511,0.231479255580515,0.581325903240077,0.152739712093967,-0.015342259742335,-0.139455182536236,0.039414064950015,0.0815445190093944,0.0922906139449525,0.119795410204912,0.968995637239136,0.364425731267244,0.305260804674406,-0.183344256129008,-0.0620967430401651,-0.04687339489447,0.0864290850637275,0.00895078570945145,-0.0588884484901698
"LOC111125236","GO:0005509","pink",-0.0183964977673715,0.0073833152142529,-0.0522373841289921,-0.0592749962471634,0.0657379030232619,-0.0985722664608428,0.185020326152851,0.156929843297346,0.128429182643939,-0.071766307717077,-0.0328086602254906,-0.043098931787393,0.144567898541524,0.314531938823294,-0.136009660467103,-0.0105298576076782,-0.17324755701834,0.861822131456759,0.944312303757762,0.62093146853695,0.574616129600353,0.533554837766847,0.349878972929229,0.0774517682874714,0.135198944247875,0.222439610180201,0.496615967753866,0.756203139645299,0.683326592175279,0.169155593159299,0.00226164908362273,0.19610153311056,0.920645483847517,0.0986312149878863,-0.00429239719509164,-0.140869856309287,0.0644889478979514,0.034522828645064,0.0965179792523201,0.15534690558281,0.97468635435042,0.371192715441877,0.311934890835033,-0.200864349251543,-0.043708217113803,-0.0165274051810344,0.0288270350477083,-0.0395406866108861,-0.0933380549387845
"LOC111125237","GO:0000978;GO:0000981;GO:0005634;GO:0005737;GO:0006357;GO:0032922;GO:0046983;GO:1990513","green",-0.161625588206722,-0.0698855556190352,0.0865594054359381,0.0950803664606159,0.0633099265817259,0.073716835968679,-0.0525746411548222,0.124293873028353,-0.120857291843587,0.108781844890355,-0.0510458431766276,-0.0220581631320422,-0.0335821220584282,-0.0859060047725057,0.227301834478989,-0.0923253554626672,-0.053232724243843,0.123755252957486,0.507994482664506,0.411966238496401,0.367293638403669,0.548808366512623,0.484957981637638,0.618675863871579,0.237813881202588,0.251139919638507,0.301978591344942,0.628928582396193,0.834676929309004,0.750641221762614,0.415517704158867,0.0293315932586498,0.381401250710269,0.614284716142308,0.0714232785584099,-0.400051018734475,-0.234674284759215,-0.589397878486238,0.227053150978698,0.212833025544809,-0.0905942975631365,-0.0330447408687895,0.0824994824992696,0.000384263128629241,0.498260569545754,0.423150185523997,0.0211438664183072,-0.250543073597169,0.195405518246317
"LOC111125239","GO:0005886","black",-0.0651040725047053,-0.0414660945598615,0.0192939629855596,0.143173360062875,0.270276700829752,0.0235113181741532,0.113967902509345,0.237843672235607,0.0085865189448676,0.121065425203027,-0.21997153027799,-0.0921171216814925,0.190152337467573,0.0444892162756386,0.226080060848095,-0.242800168265748,-0.0357338202363431,0.537516410730619,0.694718605527108,0.855152777949713,0.173349371660141,0.00917018659535425,0.823955792885075,0.279374922034753,0.0224308835210714,0.93525553165833,0.250318556031699,0.0351240705530305,0.382480679687387,0.0694404947511259,0.673682276629883,0.0302367797832066,0.0196992423013114,0.735236186237837,0.00104080547925752,-0.353246820432946,-0.213105764402779,-0.262534711108812,0.353223396594557,0.274481150265509,0.0267389460078773,0.118303033997286,0.100754607971389,-0.135025968853642,0.296695043326439,-0.176150863110383,0.144086676787598,0.0448919123462809,-0.139682078121678
"LOC111125242","GO:0000139;GO:0006493;GO:0016758","black",-0.0500236522242137,-0.0114848188872156,0.0145184730299708,0.0773450101119415,-0.117365755283031,0.144419616121553,0.162670948135371,0.171455367894601,0.0961906479120657,-0.0287369476804713,-0.0595079163384323,0.195030217151036,-0.105725614994161,0.164537872464351,0.0305085398037523,-0.144160190749145,-0.0566277764937654,0.635823412627385,0.913475405802962,0.890746627877806,0.463666534310473,0.265194739492547,0.169597932484336,0.121311898556428,0.102220548377654,0.361699797746527,0.785681526293895,0.573111121581491,0.0624594580660047,0.31584454155342,0.11704078075369,0.772815676415892,0.170373870959181,0.591848863777517,-0.171367253215875,-0.45260850978764,-0.113579628654616,0.00131033991832904,0.6418278173599,0.57631851679342,-0.00874569141628861,-0.120822386965682,0.0301513993752582,-0.4565871270696,0.0402379716078359,0.10462322847639,-0.0800526988272092,0.138731544918125,-0.0712443831771008
"LOC111125243","GO:0005509;GO:0005886;GO:0007156","grey60",0.0282518040908387,-0.119111729943247,-0.0938230899793159,0.0143768010351834,0.0283255586545567,0.00176794029706495,-0.0619472655562019,-0.0779028531844511,-0.0303314616139618,0.00808376145041115,-0.0267853380236846,-0.00592219980462512,0.0244008492873596,-0.0759535787078935,-0.0126681553658782,0.0485952578642416,0.042635222262484,0.789215013218612,0.25810128011519,0.373691675488066,0.891806247118037,0.788677553645962,0.986655489318474,0.557460866607373,0.460438947398845,0.774098978293083,0.939038959783731,0.799921515811713,0.95531984537732,0.817408749043768,0.471770859257458,0.904600291910522,0.645510249765632,0.686554744618078,0.489613555131081,0.353694242234015,0.119860526346441,0.0512661820805512,-0.219433786418019,-0.0186692925305868,0.0474643040665578,0.137567477162162,-0.0314893397730746,0.0266682196233786,-0.0575132322556444,0.0440294625025935,-0.191090839767417,-0.0576480738750395,-0.0637113092942711
"LOC111125248","GO:0003682;GO:0005524;GO:0005634;GO:0005721;GO:0006346;GO:0031508;GO:0044027;GO:0046651","blue",0.162520647240294,0.18281398921573,0.0921058137184497,0.0962418005524228,-0.00566520244864222,0.109499790921396,-0.162512054706139,-0.171512129251514,-0.0959846794017406,0.0819923666566848,-0.0390988606121108,0.0456404729295854,-0.0860985797467266,-0.199276655598667,0.0041656720129234,0.10822384490066,0.0926305944370729,0.12166090023391,0.0811160398323442,0.382539349845155,0.361443351268618,0.957256900935631,0.298779992717632,0.121680875571542,0.102105322789005,0.36273352586977,0.43715881545282,0.711354861331884,0.665735725572637,0.414469146956718,0.0568570069937566,0.968563837926912,0.304480014764173,0.379822298700508,0.215803487124381,0.184505750630687,0.230113921886238,-0.325799898635398,-0.301527488750305,0.0251938867774077,-0.166269510716186,-0.222247355504621,-0.256380841938449,0.0498423297465268,0.074632356801408,0.324870972577125,-0.229928626813133,-0.457751282686833,-0.00511878142758718
"LOC111125250","GO:0005509;GO:0005524;GO:0007018;GO:0008569;GO:0016887;GO:0030286;GO:0045505;GO:0051959","grey60",-0.105666440475724,-0.0241546319546706,0.191268060805461,-0.000561361987294307,-0.11367045009888,0.0562264920886736,0.114619024458383,-0.067567771088211,0.161875676843942,-0.0261294828829022,0.0406062580151385,0.0906490719118497,-0.104050787085561,-0.0987604076055243,0.0218957897312707,-0.212289146496141,0.291416417776887,0.316117005913621,0.819219702097436,0.0677905769757566,0.995762634159572,0.280639955988918,0.594481353374146,0.276619091950712,0.522199793171125,0.123167303831099,0.804721959729021,0.700745087562594,0.390142788824817,0.323614740491813,0.348955549788764,0.835876810366019,0.0421957531921815,0.00482639773031108,0.659234218318402,0.137208227580432,-0.144930064315753,-0.38481226847584,0.177077215879556,0.110644032991656,-0.0498373510575125,-0.00546531565490629,-0.12638227147668,0.0126675191792533,0.350277535121398,0.164660080625502,-0.313724887479139,-0.121321748631816,-0.0340067452989314
"LOC111125252","GO:0005525;GO:0005874;GO:0007017","turquoise",-0.0175581912699938,0.134077776859885,0.157912908559185,0.00112666067601452,-0.0849481058871357,0.0437327912139827,-0.101375896160142,0.0149792952422313,-0.12080283508025,0.0843161342900631,0.130661493110134,-0.0325718695079606,-0.178632936823481,-0.0461886430272907,0.06322898321132,0.0765134526413231,-0.0940554070248565,0.868060628685022,0.202589914781221,0.132739005071787,0.99149567167714,0.420756238029051,0.67892313057708,0.336276353154582,0.887301297888608,0.251355129020536,0.424233120609688,0.214437481064391,0.757908388585308,0.0884385272319724,0.661964843854187,0.549320507010255,0.468500703965109,0.372504379471348,-0.163972444408604,-0.0276341693798234,-0.00281489719702208,0.073444281910534,-0.175253006329309,-0.140661289489915,-0.0859083931819875,-0.236867789666612,-0.0931824171995041,0.0180585377754745,-0.122167485486383,-0.0479921131463634,0.276571578183857,0.0458829669186792,0.490654948685105
"LOC111125253","GO:0007018;GO:0030286;GO:0045505;GO:0051959","blue",-0.0631995891671501,-0.0127715219318907,0.0267651078595602,0.0443266556277424,0.0366192654258852,0.0308140696962687,0.00874988927205802,-0.0536598156088395,0.0365853608799978,0.0351897241514661,-0.043192174741057,0.000907889238734662,0.00751377709071566,0.133135798243633,-0.194178824460846,0.15700989960368,-0.094169958043194,0.549506544752456,0.903825574941046,0.800069477748845,0.674807267624277,0.728926751360524,0.770602910570634,0.934026417430844,0.611442136634391,0.729168016682152,0.739122025205471,0.682678158198681,0.993146970747501,0.943329926384717,0.205808802974016,0.0636350450531237,0.134997331990021,0.371919793869749,0.191085864396037,0.0913328006277725,0.0301544151550446,0.00186639064957521,-0.0424685688147881,0.0591470538491195,0.0157209082849935,-0.00362826451548266,0.0821309327842521,-0.0334606452757445,0.0498553665086347,0.139100839120173,-0.0603875697919934,-0.0902431844135511,-0.194535878852596
"LOC111125258","GO:0005654;GO:0008270;GO:0061630","purple",-0.125418322449958,-0.000935657841470027,0.157746393414688,0.0352106530636603,-0.03714688700569,0.0576024345337854,-0.00457528301507175,-0.110401420192733,0.0500341559836282,0.0896798544164746,0.0647375983330053,-0.0218440679084218,-0.129413482416329,-0.0449417206383539,-0.0806501531088314,0.0243747765383804,0.104914128285271,0.233562217489972,0.992937370033662,0.13315326390609,0.738972432669012,0.7251756021286,0.585476974107949,0.965474529216654,0.294794660358217,0.635752403833231,0.395251273563131,0.539813559881249,0.836259095054668,0.218885674144793,0.67055453138354,0.444725145785187,0.817600471534184,0.319594186878908,0.0870415817332876,0.0928585627546418,-0.166140224588281,-0.00729572386411398,0.0311211528092959,-0.139299916325349,-0.0910745958009097,-0.23943333852552,-0.0478071083319183,0.134169126446274,-0.00320627759941718,0.0327626436644326,-0.182668116473558,0.208302760768749,0.374535858753217
"LOC111125260","GO:0000978;GO:0000981;GO:0006357","turquoise",-0.412647358375086,-0.366679033104612,-0.22092780508394,-0.0508982720977213,0.0508852611925186,-0.0818601159460007,0.0964166425074582,0.251089710429504,-0.0176494326914015,0.0498211940767847,0.0848222498362287,-0.143579488330799,0.00954495248259471,0.182503535249489,0.103134341115034,-0.0854818300835573,-0.208564329986177,4.35927645462915e-05,0.000324335161811309,0.0343178378840444,0.629922026953583,0.630009647632828,0.437901087362891,0.360567652612771,0.0157675832809402,0.867381230590949,0.637192737394566,0.421447338417027,0.172120219470999,0.928047031140992,0.0816425642918437,0.327917898052635,0.417832731984887,0.04602920725881,-0.363127741632668,-0.359447506258253,-0.164061158521896,0.0245334958999841,0.0758177471170595,-0.0872619220866612,0.0696299469538441,-0.00857357889573581,0.192542511640661,-0.0577363756701717,-0.0870012737051977,-0.252718582154341,0.858871064026543,0.163383045746734,0.0254536233568903
