"","MEgrey60","MElightcyan","MEblue","MEyellow","MEblack","MEmagenta","MEpink","MEcyan","MEred","MEbrown","MEgreen","MEsalmon","MEturquoise","MEmidnightblue","MEpurple"
"H5_C2_B22",0.0677662276268901,0.199785518319672,0.118079013592271,0.0851591559125845,-0.146237409935731,-0.0859965609895324,-0.0338938709683102,0.22477660176118,-0.0505410975614384,0.0340311781924188,-0.124718049333602,0.00383853118753041,-0.0747541616651937,-0.0535658919522845,-0.0868773973216894
"H5_C4_B46",0.154441979258748,0.0776482746213364,0.0476227287845517,-0.0576195875353708,-0.037917475939964,0.0260348741948335,-0.0310895856680824,-0.0270625804835539,0.206402654869117,-0.0409133108369388,0.00988608162634446,0.0637966656090198,-0.0703046152470622,-0.0717873136360598,-0.068559550982528
"H6_C3_B36",-0.0802389507940925,0.0485945322973679,0.0822888056811762,0.0356895019639368,-0.172168591431965,-0.101579266785587,0.0166090371731662,-0.0548110570667732,0.000575620070400283,0.0327229214706953,-0.0823272678687751,-0.0903685085375118,0.117706820229758,-0.11209963992546,0.128971759121689
"H6_H3_B35",0.055427299431379,0.0903335146041573,0.0590798717148444,0.0338385835255251,0.0632466953847483,-0.01675358371945,-0.0318555719671357,-0.0145493568796471,-0.0646033908902532,-0.025203398215417,-0.0728618166533642,0.0449204935515543,-0.0769577929379223,-0.0315683461792248,-0.0730408511908073
"W1_C1_G02",-0.0367582516092218,0.0153425260761695,0.0726558406297454,-0.0487249329794809,-0.15966027228399,-0.0712978761534682,-0.0334894381981435,-0.018428107730443,-0.063715139759469,0.0504052091518252,0.0181265591857906,0.00686359546382866,0.156903460000022,-0.150201366968666,-0.0883509661539587
"W1_C6_G61",-0.0829759038076044,-0.0400159926817005,0.143068075911029,0.116225340456014,0.0183744295739451,0.139602819270747,-0.00737811804210809,-0.0459285297202372,0.11977974491485,-0.232467786203069,-0.19473085567642,-0.0804337550474128,-0.0014862668940194,-0.030427884539867,0.124719399528656
"W1_H5_G49",0.115772443277093,0.0731430779464784,0.0149378592968014,-0.103031250835312,-0.0563258045508626,-0.0613778215323349,-0.0451504278177194,-0.0406776181717257,-0.0366139566226314,0.0526680846585944,0.0190659539460387,-0.105156785131532,0.023410629587051,-0.0665131883116941,0.0968204089630853
"W1_W1_G01",-0.063030659952856,0.0925377106182708,0.0217736618785624,0.0953457118465455,-0.129302488819125,-0.0853304531963506,-0.0368958221605235,-0.0140300655220747,-0.048371088747302,0.100830673015548,-0.0122444184015223,0.0501265995145741,-0.0777102905601082,-0.0226875005068512,-0.0440614012937108
"W1_W6_G62",0.0511095636266989,0.0803147919442071,-0.0242708849098793,0.00308441559860382,-0.0415661828883415,-0.0426361498920511,-0.0230451114359544,0.083017124595155,-0.0567590300090532,0.113015564607174,0.0285241386133562,-0.0175487252286146,-0.0730539184391717,0.0477948908771963,-0.0673244329068903
"W2_B1_G04",-0.118607954786195,0.0406403770867075,0.0207053378448559,0.274070107178027,0.059864788194542,-0.0843583524819487,-0.00131074396907823,-0.0342538312197148,0.208997703938167,-0.0974642523143586,-0.28459500554222,-0.429119987941531,0.171665789748696,0.312724683419113,-0.113492444654802
"W2_B6_G64",-0.0304767025723369,-0.165028913961561,0.0943095261825924,-0.0547458771106045,0.153843150941576,0.261165116338398,0.052856700536901,0.292341515168727,0.130643461430714,-0.249077872848625,-0.00333474222792242,-0.0879162341477038,0.0529253755745758,-0.130224071726726,-0.0868806259681002
"W2_C2_G15",-0.02335882642265,0.216555740747566,0.178047493434031,0.204701108389963,-0.188404431863725,-0.103224538439368,-0.0360061952660547,-0.0339974173551277,-0.0727898388449717,0.0718664313186723,-0.154069772012958,-0.101700170262493,-0.0869783732089589,-0.0637274975707054,-0.0902044926437374
"W3_B5_G54",0.02573590126069,-0.00723477631504227,-0.0323041627975514,0.041489894814022,0.0297193639103558,0.00387940065674418,0.658436359361899,0.298901460019007,0.364166389150865,0.00753060658144323,-0.0439873487414901,-0.0790731639125468,-0.0256487190226339,0.0706354418108619,-0.0632114822579034
"W3_C3_G29",0.0977147986790421,0.124087187897459,0.0580190645027698,0.0181712591904072,-0.0836364578259785,-0.0270669964228641,-0.0248672100660348,-0.0404272981811359,0.111701902010765,-0.00331081127906218,-0.0484718753672664,-0.0931941425551575,-0.0447630486860693,-0.0502070089439875,-0.0952077246488545
"W3_H2_G18",-0.0113642425629618,-0.0245288542942587,-0.0220760193008342,-0.0190828122329782,-0.0140905555325843,-0.0188836141726112,-0.0147667615815238,-0.018785776554137,-0.0334047980357305,0.0484538061222978,0.0861228989946902,0.0309690098448611,-0.0684711642013131,0.0468726574076463,-0.0255750283756791
"W3_H3_G30",0.0241585463567005,0.0162070716356542,0.00687613384462326,-0.0491762510419542,0.0644118351396172,-0.0222405450086311,-0.0258947638977593,-0.032289719285779,-0.0628422991402939,-0.00745502294471597,-0.0109938509153532,0.0857870674292519,-0.0614123640929269,-0.0461943242364525,0.112120823802533
"W4_C5_G55",0.0541897545245312,-0.0623398698650659,0.133558776898775,0.0163391806796435,0.0658421574893291,0.165549962962891,0.397915276934211,0.254098273177414,0.032861887645548,-0.189592952342228,-0.0654150257211955,-0.119146491114132,-0.0580737133604488,-0.0642665137093439,-0.0813245626078782
"W4_H1_G08",0.0405064936050641,-0.0618845001384019,-0.089868803052091,-0.134186156628089,0.0654385532336632,-0.0203112258878822,-0.0256055029358822,-0.0255682245986944,-0.0590173163334718,0.0737450712675285,0.155302006485074,0.102587310692552,-0.0820692726263916,0.0568539004144448,-0.0491332726506947
"W4_W5_G56",-0.0325817802062249,-0.0171665140949514,-0.0968017350474203,0.0336147343692597,-0.0112642342331719,-0.111442264609829,-0.0283137461100943,-0.0632298050706255,0.0548356353299114,0.0391198716121018,-0.0303686857911791,-0.160489697857692,0.286918015581243,0.13196454981869,0.079620671828963
"W5_B2_G21",-0.136448799027904,-0.11599132417653,-0.178864067985615,-0.0845465655163973,0.0762146348965566,-0.0422449584457708,-0.0189851236986541,-0.01493533573887,-0.0522726000042844,0.154796904087877,0.160076099251001,0.116201582482005,-0.0770359561510314,0.124220194633847,-0.0146855902076509
"W5_C4_G45",0.0278070687844998,0.158306868188296,0.154309754445673,0.0454448136588445,-0.0756511595026903,0.0249431377691241,-0.0479621560061222,-0.0335142284209435,-0.070090123911836,-0.0709086229210139,-0.140165466663975,0.0158141135344916,-0.0877220410325589,-0.0690115278789054,-0.0949697554648035
"W5_H4_G46",0.219363444074434,0.0594917270440409,-0.114307951268832,-0.0894999136523652,0.0120744058122492,-0.0549762533801909,0.0213104561708779,0.000620988888878855,0.112650427828322,0.0837091956632045,0.0720410135692137,0.0854655468747818,-0.0437811913176966,0.0867951945384002,-0.0725733230048282
"W5_W2_G22",0.0556641102189776,-0.00147776471724287,-0.123352122467256,-0.0430221664960893,-0.0293682485059564,-0.0610082795546754,-0.0268594912924346,-0.0102970693669359,0.0802408783539468,0.122883848629473,0.1241404662976,0.116439168835875,-0.0636599246318146,0.0550017516373196,-0.0565763303650722
"W6_B3_G35",0.0664871128157222,0.0038271738177301,-0.150845751265025,-0.0196746536776352,0.0817584707290154,-0.0553033628399662,-0.0271743924440057,-0.0212480189123294,-0.0569271781593488,0.112949145562825,0.14826017183285,-0.0386863433958144,-0.0783112398846509,0.144829471332047,-0.0747627402876802
"W6_B4_G48",-0.184882647207308,-0.14776083411203,-0.0144457855711786,0.00964407131137025,0.034793618640342,0.0478453845712749,-0.0103050011082134,0.00145724666575717,-0.0365846619395369,-0.0297806508571412,-0.00544902294638804,-0.0252253228909788,0.244537372054812,-0.0499944085940359,-0.0844671614114428
"W6_H6_G71",0.0866148994981475,0.17631464483041,-0.00365200187657453,0.128801766360852,-0.0646201459114445,-0.0521857136102815,-0.0122196517099781,-0.0089575032905117,-0.0408855833301149,0.0737374234243066,-0.0408078033425132,-0.0525549227256839,-0.0766185993423099,0.0736251498996454,-0.0860075589767501
