"X","Gene","log2FoldChange","lfcSE","pvalue","padj","pair","DEG_group"
"LOC111132399",72.0361192680349,3.25433668585225,1.58187520914373,4.36234708851395e-05,0.0197476989960599,"B vs. H","H"
"LOC111138022",43.1844717808787,21.209921938129,3.86188732536389,6.09244928227205e-09,5.95719690820561e-06,"B vs. H","H"
"LOC111138218",189.023749774991,3.24149067772281,2.69615420827964,0.000158743923259187,0.0404218250424044,"B vs. H","H"
"LOC111134018",271.064243239201,2.33162216013438,2.01233859854878,0.000199206736076109,0.0455103613400046,"B vs. H","H"
"LOC111110626",124.658965848903,23.1351211575147,4.02745708684797,1.7231522323401e-09,1.91465710543426e-06,"B vs. H","H"
"LOC111108634",310.641411806884,6.74261468735997,1.6218082180919,8.24373272184742e-07,0.000610660746622909,"B vs. H","H"
"LOC111109983",314.808112097898,3.43954378923511,3.85472188659881,0.000196738877834312,0.0453705836666016,"B vs. H","H"
"LOC111105808",20.741571452402,1.88327982330196,1.31739244407618,0.000104080186043302,0.0314103721954138,"B vs. H","H"
"LOC144618078",40.0686222001555,-3.73746691740364,2.14999941495723,6.55624611993716e-05,0.0246565286772098,"B vs. H","B"
"LOC111137458",23.6577609711585,5.44101409798384,2.33913417324003,2.05792663337918e-05,0.0107034077772243,"B vs. H","H"
"LOC111106155",4044.63735604175,6.24890089410896,2.4616549813196,1.22330124553427e-05,0.00729356071880127,"B vs. H","H"
"LOC111138010",32.5926076607313,3.54175406683013,3.6150789641953,0.000177307062044798,0.0433427113168508,"B vs. H","H"
"LOC111134804",288.298811355322,-2.02559345136942,1.00835858110042,3.94537733436726e-05,0.0185470671035784,"B vs. H","B"
"LOC111133978",19.9949242056602,4.23406764534529,3.15985459521987,9.44524633860288e-05,0.0296540912242755,"B vs. H","H"
"LOC111136443",193.528861210877,23.4546898838398,3.70285717310875,5.38241859704568e-11,8.22332641279886e-08,"B vs. H","H"
"LOC111132555",34.8807393277379,19.8202002547351,2.39320289219535,3.99653519743092e-17,1.39564718430284e-13,"B vs. H","H"
"LOC111137302",5478.61372956878,-1.546123894419,1.12438698447299,0.000102500242399685,0.0314103721954138,"B vs. H","B"
"LOC111101514",110.718065554722,22.5664414080432,3.55284763745097,5.05666112133001e-11,8.22332641279886e-08,"B vs. H","H"
"LOC111128165",4883.01361614773,3.86942246875462,3.14208971453795,0.000122299570825901,0.0332179223204351,"B vs. H","H"
"LOC111111721",44.3521119584099,2.66331915059342,2.01943348270304,0.000143684469791554,0.037767385634995,"B vs. H","H"
"LOC111118388",172.73269497995,-1.99312138711305,1.07879040988465,5.03736608124021e-05,0.0213312736348982,"B vs. H","B"
"LOC111120189",8.22288770024606,19.1612510659458,2.0553513894046,4.01513285173314e-21,3.27166408535389e-17,"B vs. H","H"
"LOC111122205",62.3718150676374,5.06903804968568,1.74366380100462,1.13580994763011e-05,0.00711919850508153,"B vs. H","H"
"LOC111120934",153.59767526302,5.43608371622685,1.96016394318968,1.21141139912397e-05,0.00729356071880127,"B vs. H","H"
"LOC144620632",182.897952778042,1.12077425185447,0.578689270745506,2.71115625752763e-05,0.0132548429430526,"B vs. H","H"
"LOC111122032",313.807063281204,4.27251273892043,3.99961570930217,0.000118081998056583,0.0331783269252089,"B vs. H","H"
"LOC111118679",323.14020426699,3.12276689984033,1.29697790795416,2.69478885524028e-05,0.0132548429430526,"B vs. H","H"
"LOC111119837",134.944052415736,6.18924507124699,1.74275853092889,3.30064140962493e-06,0.00224122720161893,"B vs. H","H"
"LOC111122307",19.5214629098819,-1.62062849793766,1.43100791942723,0.000189191485414625,0.044469094816928,"B vs. H","B"
"LOC144621966",81.1136905550208,-3.08384395135497,1.93049587691367,8.72070444833549e-05,0.0288077865188596,"B vs. H","B"
"LOC144621941",516.332901933353,-11.0501971749643,2.08819344241287,4.46765049830373e-10,5.74798507531762e-07,"B vs. H","B"
"LOC111115440",41.6644663952912,-14.7203911184132,3.23964327098217,6.32031247363662e-08,5.51785851493026e-05,"B vs. H","B"
"LOC144621293",70.2331369452462,-20.3538110291139,3.43985175321812,6.36477742998559e-10,7.77934921379988e-07,"B vs. H","B"
"LOC111115503",48.9212197946632,-2.04150096302447,1.64812090828542,0.000162997096956729,0.0410769488155386,"B vs. H","B"
