"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"38235","LOC111116722",5.55670543360352,0.00206213192296517,0.123944168518602,0.212678678206653,0.831577598621394,0.999634105619852,0.967237074200896,4.26211730305353,0,28.4404591026484,6.74866088207092,0,13.9466949034799,8.57021116480756,1.04938944715092,3.07181786112508,11.0687666093893,0,0,0,0,16.1974141315821,9.21743601814757,3.93418054635137,11.097949184575,1.1782626870813,2.78472070735116,0,0,6.23614442406687
"38236","LOC111117880",1650.40236667871,0.00196778627670608,0.106516218367711,0.240637335686774,NA,NA,0.968809496833149,116.782014103667,201.930172798475,770.401848045269,804.215421780118,43.7305146531354,230.992134338886,152.121248175334,208.828499983033,871.628318094243,172.949478271708,225.077766997877,409.618263249576,208.399283853608,0,173.407610114584,227.363421780973,462.921910954011,32004.2658584774,139.034997075593,292.395674271872,1.82947150883783,11.8704102764486,229.490114805661
"38237","LOC111117108",0.464449562994082,0.000628813976499601,0.337773989960037,0.0237429518551337,0.981057645025521,NA,0.95373218349102,1.70484692122141,0,0,0,2.08240545967311,1.74333686293499,0,0,0,0,2.52896367413345,0,0,0,0,0,2.62278703090091,0,0,0,0,0,0
"38238","LOC111117107",0.472785209409746,0.00741123804073547,0.351620834684187,0.272115700238146,0.785533057852939,NA,0.947617654597113,0,0,0,0,2.08240545967311,0,0,0,0,0,0,0,0,0,0,3.07247867271586,2.62278703090091,0.739863278971666,2.3565253741626,0,0,0,0
"38239","LOC111117109",3.81751106329961,0.0104783568375801,0.194820015528184,0.711389518484296,0.476842892366535,0.978986218863228,0.953695422709958,0,3.81000326034858,0,6.74866088207092,10.4120272983656,3.48667372586998,0,0,1.53590893056254,0,5.0579273482669,0,0,0,0,5.12079778785976,5.24557406180182,12.5776757425183,29.4565671770325,1.85648047156744,0,0,2.49445776962675
"38240","LOC111117111",0.990615650447263,-0.0129472971278045,0.258171618011632,-0.641146616520758,0.521427429473651,NA,0.947046159876312,0,0,0,0,1.04120272983656,3.48667372586998,0,0,0,1.38359582617366,0,0,0,0,0,1.02415955757195,0,0,11.782626870813,0,1.82947150883783,0.989200856370717,1.24722888481337
"38241","LOC111117110",0.201263521596632,-0.00903753831654006,0.355855684319979,-0.329143319147465,0.742047362758112,NA,0.946043390828167,0,0,0,0,0,2.61500529440249,0,0,0,0,0,0,0,1.27419242334837,0,0,0,0.739863278971666,0,0,0,0,0
"38242","LOC111117684",126.720919337451,-0.00311128719777826,0.14692253361968,-0.267260336228319,0.789268723412891,0.999634105619852,0.964404050695888,115.929590643056,123.825105961329,0,0,225.940992374533,516.899379860225,108.198915955695,146.914522601129,2.30386339584381,0,0,116.893461215107,0,80.2741226709474,0,540.756246397991,0,275.22913977746,120.182794082292,116.030029472965,148.187192215864,99.9092864934424,177.106501643499
"38243","LOC111116713",9.38956570266612,-0.0520623000596957,0.470884817162614,-1.46551122691738,0.142781491584901,0.827484857009445,0.827015211696616,0,0,3.34593636501745,0,0,1.74333686293499,4.28510558240378,44.0743567803387,0,1.38359582617366,0,0,43.1170932110914,0,3.8111562662546,0,11.8025416390541,62.14851543362,0,0,40.2483731944322,0,0
"38244","LOC111116431",5.89727183093315,-0.092417622742393,0.627536811551867,-1.82536322525551,0.0679462349461065,0.676884144313964,0.760575707068738,0,0.952500815087144,0,1.12477681367849,0,2.61500529440249,0,0,1.53590893056254,36.665289393602,0,65.8139655580854,6.28790942661749,0,0,0,10.4911481236036,0.739863278971666,1.1782626870813,0,8.23262178977022,0,0
"38245","LOC111117892",2.29410662474928,-0.145391081425378,0.828194499394185,-2.04043023995266,0.0413074925585457,NA,0.707139861595322,0,0,0,0,0,0,2.14255279120189,5.24694723575461,0,0.691797913086831,24.0251549042678,2.94689398021278,0,0,0,0,6.55696757725228,1.47972655794333,2.3565253741626,0,7.3178860353513,0,0
"38246","LOC111116432",0.985187185155051,-0.0321518530014076,0.467748727617347,-0.95028171390842,0.341969127832292,NA,0.872529319625646,0,0,0,0,0,1.74333686293499,0,0,16.1270437709067,0,0,0,0,0,0,0,0,2.95945311588667,0,0,1.82947150883783,0,0
