"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"35094","LOC111115734",0,0,1.13219020531654,NA,NA,NA,0.902857191958621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35095","LOC111115749",0,0,1.13219020531654,NA,NA,NA,0.990116774923713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35096","LOC111115754",47.1902296451785,0.00873667690759503,0.174253212555885,0.254489544430933,0.799117380599621,0.969110125771914,0.984304063928064,0,16.1925138564815,34.2958477414289,5.62388406839243,104.120272983656,17.4333686293499,19.282975120817,17.8396206015657,46.0772679168763,53.9602372207728,41.7279006232019,67.7785615448939,98.8100052754177,142.709551415018,34.3004063962914,6.14495734543172,43.275986009865,135.394980051815,3.5347880612439,8.35416212205349,123.489326846553,37.5896325420873,27.4390354658942
"35097","LOC111115753",40.3191397314155,0.00648956572878323,0.168215939490532,0.168905187487463,0.865871218801696,0.980191848007121,0.985555575535484,7.67181114549636,13.33501141122,13.3837454600698,42.7415189197825,55.1837446813375,54.9151111824523,19.282975120817,29.3829045202258,7.67954465281271,78.8649620918987,3.79344551120018,33.3981317757448,48.5067298624778,57.3386590506767,10.4806797322002,64.522052127033,99.6659071742346,96.1822262663166,4.71305074832519,46.412011789186,63.116767054905,6.92440599459502,69.8448175495489
"35098","LOC111115736",0,0,1.13219020531654,NA,NA,NA,0.937431776536298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35099","LOC111115745",574.379719734848,0.105075870869751,0.176877838751049,1.65866368398587,0.0971835811948773,0.626669422672296,0.980799035512638,329.035455795733,576.262993127722,436.644695634778,431.914296452539,511.23054034975,384.405778277166,324.596747867086,1015.80898484209,324.844738813978,1292.97029955929,373.022141934684,877.192108110004,1292.61452355751,741.579990388752,277.261618370022,592.98838383416,588.815688437255,486.830037563356,537.287785309072,451.124754590888,611.958219706253,343.252697160639,409.091074218786
"35100","LOC111115751",0,0,1.13219020531654,NA,NA,NA,0.991050982486502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35101","LOC111115758",0,0,1.13219020531654,NA,NA,NA,0.928740201283876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35102","LOC111115757",0,0,1.13219020531654,NA,NA,NA,0.991051214044385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35103","LOC111115741",204.702608005263,0.0130598834636602,0.155570074406677,0.26977198659703,0.787335675486945,0.967923056915359,0.987111683715625,110.815049879392,149.542627968682,56.8809182052967,96.7308059763498,129.109138499733,126.391922562787,77.131900483268,275.989424600692,32.2540875418134,434.44908941853,48.0503098085356,222.981644502767,398.833112202595,217.886904392571,156.257406916439,164.889688769084,498.329535871173,296.685174867638,378.222322553097,190.289248335663,246.978653693106,189.926564423178,209.534452648647
"35104","LOC111115750",0,0,1.13219020531654,NA,NA,NA,0.991051445590286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35105","LOC111115731",0,0,1.13219020531654,NA,NA,NA,0.902888172954514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35106","LOC111115738",0,0,1.13219020531654,NA,NA,NA,0.990117057347282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35107","LOC111115739",0,0,1.13219020531654,NA,NA,NA,0.937443434150971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35108","LOC111115746",377.950841683044,-0.0137075198374754,0.167371274191221,-0.342733508102666,0.731798952021455,0.957658042020093,0.985223093920591,661.480605433908,296.227753492102,663.33188436471,304.81451650687,660.122530716377,725.228134980957,600.98605793213,0,497.634493502264,135.592390965019,273.128076806413,336.928211737661,248.821558739006,114.677318101353,480.20568954808,422.977897277216,174.415337554911,378.070135554521,151.995886633488,235.773019889065,513.16675822901,620.22893694444,197.062163800513
