"Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.Actual_tissue_growth_mg","GS.Ratio_tissue_shell_mg","GS.P1_trtmt_code","GS.P1_temp_code","GS.P1_DO_code","GS.both","GS.control","GS.hypoxic","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.Actual_tissue_growth_mg","p.GS.GS.Ratio_tissue_shell_mg","p.GS.GS.P1_trtmt_code","p.GS.GS.P1_temp_code","p.GS.GS.P1_DO_code","p.GS.GS.both","p.GS.GS.control","p.GS.GS.hypoxic","p.GS.GS.warm","MMturquoise","MMblue","MMgreenyellow","MMyellow","MMblack","MMbrown","MMpink","MMmagenta","MMtan","MMgreen","MMred"
"LOC144627481","GO:0005515;GO:0008270","black",0.0830282314750242,0.000541793900412294,0.0302155298330412,0.0792082423181373,0.299557564814406,-0.0628463217487564,-0.0580560947089668,-0.323815238848308,-0.0169593254146034,0.395308769391354,0.706444734707858,0.998042439501591,0.891142784867112,0.719407599063534,0.164940787619459,0.775740799084904,0.792456532651101,0.131730567468364,0.938779817997943,0.0619038645615481,-0.00370181183138751,0.244889343027545,-0.0980831565100608,-0.303745458003404,0.277820197727696,0.117593178357108,-0.230995870668617,-0.516308876429732,-0.311732949191573,0.162245689397288,0.00855767650804873
"LOC144627486","GO:0005515;GO:0005654;GO:0008270;GO:0061630","turquoise",-0.0171308736508135,-0.0164504159841457,-0.135592865363571,-0.411877415739669,-0.304524960891029,-0.299780339745846,-0.318963094701491,0.387839773515099,-0.0414143346545736,-0.0468117820678751,0.938161703588806,0.94061369590934,0.537316329351638,0.0508407980938396,0.157707519206872,0.164611526083597,0.137953761862045,0.0674561709380767,0.851174516399969,0.832030910944516,0.201670590617195,-0.141769107417404,0.291785811307485,0.374505936821073,0.143942236451603,-0.206812185864063,0.102907844665819,0.250119846334688,0.204822667232637,-0.406458694817877,-0.23726848528031
"LOC144627489","GO:0005515","turquoise",0.132667608620914,0.0806565174695308,-9.92813258981629e-05,-0.350634681219229,-0.230866085054436,-0.269394782690132,-0.213270833349658,0.36876015565798,-0.106128532296197,-0.0622985587264889,0.546211221611552,0.714483952602594,0.999641285410836,0.100928394740686,0.28921178012524,0.213845214152277,0.328531863147754,0.0833600725506134,0.629837317967244,0.77764752652039,0.214279820666508,-0.0211210909387866,-0.191882371823232,-0.0712241808864901,-0.0464580140999375,-0.176461388521829,-0.240950940638587,0.175161878574733,0.283863298968782,-0.0984700824193381,0.138409113413802
"LOC144627497","GO:0004930;GO:0007186;GO:0016020","turquoise",0.199432722075416,0.201047920092131,0.105359558504292,0.218411574902594,0.0857024906628526,0.196859359106786,-0.00745287322907889,-0.328441114573466,0.230946568141383,0.104495301813724,0.36160007281636,0.357643945131149,0.632334206370831,0.31672664654716,0.697416301667644,0.367955278934012,0.973076666321312,0.12598767778897,0.289038987017215,0.635145123589389,0.568589148374223,-0.0597938940374225,0.53978953908471,0.0397101332747103,0.0959938983751273,0.0228723756322375,0.342354629674132,-0.560501025844343,-0.432305742131462,-0.349266318952295,-0.379474917291881
"LOC144627499","GO:0004888;GO:0005230;GO:0016020;GO:0034220","yellow",0.244424377252469,0.0703095802281651,-0.253332311477577,-0.0332509447658079,0.276879174870058,-0.1749330932005,0.276516471680833,0.143768856653523,-0.458744645124351,0.0552337912932832,0.2610121157834,0.749890627591943,0.243479326117084,0.880280037730662,0.20089851808318,0.424667995580719,0.201513422814267,0.512819302927936,0.0276836391297668,0.802347142410053,-0.0514450217470908,0.182765863617898,0.252487367051567,0.435884475467726,-0.31067152845326,-0.371230998733286,0.282551864915304,0.152512171145646,0.262774665683125,-0.346839993594337,-0.106828407096777
"LOC144627500","GO:0005515;GO:0008270;GO:0061630","brown",-0.301189222420653,-0.0566606060452951,0.0886819744584291,-0.187445999891805,-0.112837732729474,-0.149306466432431,-0.245914323534918,0.0672171000734846,0.0611463055615053,0.102632878750018,0.162539811006003,0.797343179935851,0.687404005603854,0.391745375056034,0.608220740632268,0.496539932716549,0.258024720606667,0.760572089430941,0.781662485106295,0.64121903558806,-0.303599749699868,-0.349384540550019,-0.266311757978915,-0.204972860518755,0.152397076154736,0.369125959979197,-0.313033070188288,0.261133130993532,-0.0682304342758617,0.353065124764179,0.11108801413197
"LOC144627502","GO:0005615;GO:0062023","black",-0.106059657457131,-0.435029870101973,-0.637291292662178,-0.0866457445113049,-0.161835887870169,-0.0141773082193251,-0.000506654259147885,0.199755446537634,-0.0156520866200618,-0.183627441111182,0.630060798110318,0.0380241564529163,0.00107296030020146,0.694241201781385,0.460672678324374,0.948808377217551,0.998169402647364,0.360807595008548,0.943491095994998,0.40163661756856,-0.179363508071605,0.0951660103843878,0.117884339534515,0.0458139649613324,0.510349215101743,0.0514064142426506,-0.273898407728297,-0.161929693450836,-0.136165917847322,-0.0144684820658202,-0.117063933722891
"LOC144627505","GO:0005975;GO:0019213","green",-0.428447541238136,-0.0673058869288225,0.369215367594576,0.429000945502231,0.035330226804501,0.453171086541671,0.271642070133074,-0.300552340293972,0.260360924490225,-0.214971878393233,0.0413755587062287,0.760264817951973,0.0829505761658592,0.0410851769481733,0.872850885135486,0.0298839471723322,0.209900677032329,0.16347405640456,0.230199824047365,0.324596687069049,-0.249233709712732,-0.620268041622037,-0.482917393927264,-0.539520779017277,-0.245657310041698,0.604403995855201,0.31386110935695,0.302822745476893,-0.186139303610909,0.717914086436668,0.417636785956562
"LOC144627506","GO:0005975;GO:0019213","brown",-0.364517045655143,-0.0943134431725076,0.141383856146931,0.0238365435361436,-0.240102613208445,0.146212338872384,-0.0607318917230239,0.0497612323919853,0.223377799984604,-0.216091353615824,0.0872503234692223,0.668619149661176,0.519909122844206,0.914030620013236,0.269802266397213,0.50560439088613,0.783107810742906,0.821608005324802,0.305570524531559,0.322022488255741,-0.0144009203022534,-0.59902641875028,-0.33417644088758,-0.60864964678537,0.213621661207066,0.736060603205625,-0.284671514744792,0.0337431182838076,-0.451856751681672,0.492849502620778,0.111379253798071
"LOC144627509","GO:0008270","brown",-0.518463891878329,-0.460870565844364,-0.145806343304326,0.0530909083080435,-0.371277262949452,0.243906851583347,0.0031509819147368,0.1478555100551,0.274506874886552,-0.42532221706532,0.0112587440543054,0.0268792718607947,0.506799740323441,0.809876490481711,0.0811146301485571,0.262054935822918,0.988615505773332,0.500780584091102,0.204943401282955,0.0430458054387418,0.193159868685772,-0.610347824767887,-0.33101051622466,-0.48303547364595,0.46670284327823,0.331228349453432,0.139815373955394,0.0810309938235123,-0.142789092792328,0.357045952501924,0.318121309433425
"LOC144627513","GO:0005515","green",-0.172426208144628,-0.150200152573572,-0.13565396666045,0.119964582273799,-0.150207233797906,0.206766888595312,-0.053575881657947,-0.114667640507199,0.285542325906421,-0.120548907633458,0.431438890496517,0.493936851534154,0.537131259120061,0.585601294730459,0.493916252777343,0.343840595902929,0.808171009305146,0.602378561129562,0.186587166520476,0.583762918032488,-0.227926120624227,-0.273060984538796,-0.520096422232258,-0.545552032877668,0.266308458478147,0.36225370681689,-0.16700440351569,-0.0843104121484035,-0.185562368455275,0.69117835885663,0.413789941848034
"LOC144627520","GO:0000462;GO:0000479;GO:0003924;GO:0005525;GO:0030688;GO:0034511;GO:0042254","blue",0.154299364871427,0.0526467045160361,0.0194503051701768,-0.299198727870454,0.0338774399507804,-0.345314667710562,0.0575698516204684,0.408366243976026,-0.446904979743632,-0.0155387235107508,0.482084171169893,0.811439333922147,0.929807968452813,0.165472114058747,0.878040550800811,0.10656863954258,0.794158385222402,0.0530463947970164,0.0325214923522272,0.943899744246622,-0.0615933328928547,0.278058058063683,-0.143007045777976,-0.162213645354319,0.285272908848036,0.0396336503468487,-0.291734367448123,-0.227974690358108,-0.151067309095955,0.0587063484488251,-0.0554235954891292
"LOC144627524","GO:0043565","red",0.266169128296509,0.110633909636347,-0.0119521314699638,0.0119613145464425,0.236015217292207,-0.104879852293987,-0.0303215319639862,-0.177660782308028,-0.0908284574212317,0.296971359517404,0.219593097730386,0.615287535611958,0.956835132473122,0.956801998020016,0.278286722496938,0.63389380306429,0.890763107809689,0.41736656769164,0.680222168830763,0.168796851582718,0.127847704452268,0.0722875163740586,-0.301884459799461,-0.277061441312741,0.0458431276664974,-0.123990141407378,-0.0603981370994588,-0.158282265216555,0.104104590408833,0.1996442334661,0.333245125478929
