"","Sample","Phase1_treatment","Phase1_temp","Phase1_DO","Module","Eigengene"
"138","W6_Nu_G45","warm","warm","normoxic","MEbrown",-0.13516965692951
"139","B1_Nu_O03","both","warm","hypoxic","MEpink",-0.0260685743039074
"140","B2_Nu_O12","both","warm","hypoxic","MEpink",-0.0170497653263133
"141","B4_Nu_O32","both","warm","hypoxic","MEpink",0.665168765173288
"142","B5_Nu_O36","both","warm","hypoxic","MEpink",-0.038436140104846
"143","B6_Nu_O47","both","warm","hypoxic","MEpink",-0.000729719295554455
"144","C1_Nu_W01","control","ambient","normoxic","MEpink",-0.0927382451170579
"145","C1_Nu_W05","control","ambient","normoxic","MEpink",-0.123662016138119
"146","C2_Nu_W15","control","ambient","normoxic","MEpink",-0.0856999089837925
"147","C3_Nu_W21","control","ambient","normoxic","MEpink",0.0154415502443699
"148","C4_Nu_W29","control","ambient","normoxic","MEpink",-0.0835453384831015
"149","C6_Nu_W42","control","ambient","normoxic","MEpink",-0.0331991840724022
"150","H1_Nu_B08","hypoxic","ambient","hypoxic","MEpink",-0.00884148277827498
"151","H2_Nu_B14","hypoxic","ambient","hypoxic","MEpink",-0.119685218159867
"152","H3_Nu_B18","hypoxic","ambient","hypoxic","MEpink",-0.148474300457634
"153","H4_Nu_B28","hypoxic","ambient","hypoxic","MEpink",0.652230803278791
"154","H5_Nu_B35","hypoxic","ambient","hypoxic","MEpink",0.0223540969875205
"155","H6_Nu_B45","hypoxic","ambient","hypoxic","MEpink",-0.120965464212354
"156","W1_Nu_G02","warm","warm","normoxic","MEpink",-0.0697063923456518
"157","W2_Nu_G15","warm","warm","normoxic","MEpink",-0.119288120591305
"158","W3_Nu_G21","warm","warm","normoxic","MEpink",-0.100157633737115
"159","W4_Nu_G27","warm","warm","normoxic","MEpink",-0.0546779596918495
"160","W6_Nu_G41","warm","warm","normoxic","MEpink",-0.0475339925115502
"161","W6_Nu_G45","warm","warm","normoxic","MEpink",-0.0647357593732737
"162","B1_Nu_O03","both","warm","hypoxic","MEmagenta",0.0693243336202486
"163","B2_Nu_O12","both","warm","hypoxic","MEmagenta",-0.0658740419075488
"164","B4_Nu_O32","both","warm","hypoxic","MEmagenta",-0.0436149509858769
"165","B5_Nu_O36","both","warm","hypoxic","MEmagenta",0.269477089361745
"166","B6_Nu_O47","both","warm","hypoxic","MEmagenta",0.197555296318774
"167","C1_Nu_W01","control","ambient","normoxic","MEmagenta",0.00613509506211003
"168","C1_Nu_W05","control","ambient","normoxic","MEmagenta",0.133784573418317
"169","C2_Nu_W15","control","ambient","normoxic","MEmagenta",-0.0145481344432796
"170","C3_Nu_W21","control","ambient","normoxic","MEmagenta",0.0702022653360721
"171","C4_Nu_W29","control","ambient","normoxic","MEmagenta",0.161575834749444
"172","C6_Nu_W42","control","ambient","normoxic","MEmagenta",-0.051749963918349
