"","MEyellow","MEgreen","MEgreenyellow","MEpink","MEblue","MEturquoise","MEbrown","MEpurple","MEred","MEblack","MEmagenta"
"C2_C1_W03",-0.00748428987583955,0.0865474940656199,0.106458834105645,0.0645449119308433,0.0164214048820976,0.00523767069910489,-0.0633163996133091,-0.0888005292517532,-0.0672347221975007,-0.0549713741622304,-0.0380896457902921
"C2_H1_W04",-0.081053030852017,-0.0397467900928143,-0.00052968703415401,0.00894141286739215,0.0434787096540627,0.0953632847266594,0.117549765727127,-0.0125499172316819,-0.0392993641770101,-0.0314248945260988,-0.0271126532817571
"C2_Nu_W15",0.154721396477042,-0.0260072050997868,-0.144939765488019,-0.179586584548762,-0.145553426156689,-0.213868323339798,0.0527088349128572,0.0143607068130048,0.231689329049129,0.1198510492749,0.0106270658702012
"C2_W2_W15",-0.0224615311574982,0.0563828496933601,0.0735464750620709,-0.0420375204319942,0.0383112608040097,0.0312865678991388,0.133804317174928,-0.0915068271588556,-0.0808057820844718,-0.0184515756537229,0.0573435179888725
"C3_B3_W30",-0.0518117195636347,0.00176898360802896,0.0214343289904257,-0.00638610246168532,0.103771098458452,0.0105198827737387,-0.0575318310531652,0.00924902723042955,-0.0379607646681212,0.110807602005096,-0.0195368061576131
"C3_C2_W17",-0.103973299240298,0.0635968804733291,0.153362744036735,0.02577836274262,0.144877710914896,0.171987059906573,-0.0661242727484619,-0.0913860495193926,-0.134024833719485,-0.070676895980809,-0.0423653721447291
"C3_Nu_W21",0.132517886066498,0.0218956098276849,-0.0369725995137613,-0.11491323523623,-0.126083441391002,-0.122722386726665,0.0236779791142501,0.0116608508415824,0.112438557738194,0.0588767174466158,0.0347879744821053
"C3_W3_W29",0.0955687337288266,0.056534357489848,-0.0696625846181673,0.113804182473339,0.0252046124809767,-0.131681810860799,0.259942263003254,0.00622875613358637,0.0826000072429671,-0.0297288849626183,-0.017923818924469
"C4_B1_W07",-0.014647370999257,0.0268168088836983,-0.0188405501738835,0.0273686341960901,0.112923351577519,-0.0470440945586017,0.0654960810259134,-0.0117401012346574,0.0419926997798,0.192581901260143,-0.0138892872184719
"C4_B5_W56",-0.217785355129566,-0.20169224099293,-0.143105029337674,0.105657150492372,0.140707398491215,0.0529496060263684,0.089789843677868,0.244313904699644,0.0152478764292575,-0.0444526175822851,-0.0289904449062642
"C4_C6_W67",-0.0152612836961707,-0.0539146717047661,-0.00590397866307303,0.0930315553077242,-0.0466060033101689,0.00955540634822353,-0.0857247973131571,0.0264216082442231,-0.0221917575101047,-0.0362507675529147,0.0218148366770827
"C4_H5_W56",0.09631902151079,0.104794444013309,0.0508580182968494,0.067642468088103,-0.00943438252785568,-0.0642623796322795,-0.0871778320696882,-0.0780699698877445,-0.029830907758873,-0.0659468385320474,-0.0457001802474128
"C4_Nu_W29",0.0973471074145823,0.112817058813382,0.10093845409606,-0.186019670805497,-0.0814406311773578,0.0110016365594518,0.0729898970435398,-0.163699293563412,-0.0758330342194753,-0.0478887514307354,0.00889727937269481
"C5_B4_W46",-0.0665188557116984,-0.0980061776387738,-0.0803100938425123,-0.0161126151626825,0.0180013504029074,-0.0303332721449636,-0.0620983730376701,0.11109159409553,0.0510623288364314,-0.0581365060664013,-0.0275954787179099
"C5_C3_W33",-0.166767062493885,0.0488062314672262,0.168755208460959,0.0316929350937166,0.133037987699667,0.155303276461286,-0.0698415895529578,-0.0715765162478832,-0.124656162271686,-0.0653222269354483,-0.0442638893734257
"C5_W1_W09",-0.00927816728089042,0.112455678178473,0.137167794762304,-0.0114033905387266,0.0524548710058138,0.0456884922943195,-0.073873487818775,-0.0959281156308855,-0.078364502284542,-0.0691361981518693,-0.0371798418509674
"C5_W4_W45",0.00722704212525595,0.049596046946077,0.0740450260838983,-0.042294140348535,-0.0208770729021695,0.0568488232741679,0.1132496140987,-0.05748596769749,-0.10158123487109,-0.0662168455322751,-0.0311100319136393
"C6_B6_W71",-0.0289732617514017,-0.104569635212852,-0.0894942786666608,-0.0674450464878664,-0.0104951849754066,-0.0060752138334733,0.0811769522018782,0.0831478644933236,0.0184451702116372,-0.0625895791587628,-0.0274099790662839
"C6_C5_W59",-0.0287506871541883,0.0726049146546579,0.133702648092817,0.0381892388601001,-0.00743540154708307,0.113460771222929,-0.0549586878256364,-0.0893941702604291,-0.112159697241597,0.21831386737765,0.0441827775266968
"C6_H3_W36",-0.0210374198648202,-0.00355916820890115,-0.0165783346938424,0.0465720723391861,-0.0126278562760864,0.0311821165052683,-0.0762931537575337,0.0352214426748479,0.00121950682261935,-0.0597316643697681,-0.0424240758904935
"C6_H4_W48",0.0351120718454095,-0.0150620914404254,0.00488872193775669,0.0277912979442139,-0.0988872230382147,0.0204358306086858,-0.0970867373271241,-0.013466148801146,-0.0325746042604256,-0.0712390341537159,-0.0467780742244161
"C6_Nu_W42",-0.0379557682217977,-0.108729213006383,-0.189399957974562,-0.138768634509057,0.0729243902737672,-0.157787985436833,0.0595605598550704,0.18088131266267,0.334013036525286,0.201251328759639,0.0065224617978807
"C6_W6_W72",0.060840445789509,0.042822065948551,-0.0465247590728801,0.0493638673581027,-0.0299789497124494,-0.119575446936483,0.0376002338899208,0.0132397331491786,0.114171385419635,-0.0435631726602787,-0.0249037115311263
