"","Gene","GO.terms","ModuleColor","GS.Actual_shell_growth_mg","GS.warm","p.GS.GS.Actual_shell_growth_mg","p.GS.GS.warm","geneClass"
"146","LOC111138063","GO:0005524;GO:0007018;GO:0008569;GO:0016887;GO:0030286;GO:0045505;GO:0051959","blue",0.222520268348669,0.451516618622552,0.307479416298629,0.030563196622717,"Warm"
"147","LOC111138184","GO:0008483;GO:0009058;GO:0030170","blue",0.365029618782968,0.468946639968265,0.0867733048170454,0.0239922305967407,"Warm"
"148","LOC111138479","GO:0000346;GO:0000347;GO:0005515;GO:0006406","blue",0.330126881809989,0.490065206716202,0.123940448495689,0.0176034886650031,"Warm"
"149","LOC144617457","GO:0003682;GO:0003713;GO:0005515;GO:0005634;GO:0006338;GO:0006357;GO:0070461","blue",0.209675479304327,0.481723268495937,0.336943099564609,0.0199378344197581,"Warm"
"150","LOC144618008","GO:0005044","blue",0.284070812634631,0.478389071179915,0.188967446772204,0.0209381155017212,"Warm"
"151","LOC144618879","GO:0005634;GO:0006203;GO:0008832;GO:0045088;GO:0051607","blue",0.254588295569639,0.570031636507914,0.241070529617513,0.00451475086727054,"Warm"
"152","LOC144619281","GO:0005524;GO:0016020;GO:0016887;GO:0055085;GO:0140359","blue",0.335088958602997,0.428020514665409,0.118054069222302,0.0416007256196868,"Warm"
"153","LOC144619626","GO:0005615;GO:0062023","blue",0.0582309170041248,0.633655600989802,0.791844877392351,0.00116947401094968,"Warm"
"154","LOC144619780","GO:0004197;GO:0006508","blue",0.197760559658648,0.658602651001346,0.365722373635555,0.000633152160205867,"Warm"
"155","LOC144619830","GO:0016020;GO:0022857;GO:0055085","blue",0.0846607305051839,0.417969305376658,0.700928696754248,0.0471835324950561,"Warm"
"156","LOC144621331","GO:0005515","blue",0.240202420214146,0.488733969259982,0.26959717047256,0.0179603653777143,"Warm"
"157","LOC144621631","GO:0016020","blue",0.373715426916313,0.475987599438819,0.0789832576587103,0.0216833450756199,"Warm"
"158","LOC144622103","GO:0006508;GO:0008234","blue",0.411478452527035,0.450194395671748,0.0510877695468835,0.0311148182029969,"Warm"
"159","LOC144623361","GO:0005515;GO:0008270;GO:0061630","blue",0.141577618607489,0.477956086923412,0.519331388597936,0.0210709308579597,"Warm"
"160","LOC144624759","GO:0005654;GO:0008270;GO:0061630","blue",0.219734597689348,0.487119257116735,0.313730728073521,0.018401084589555,"Warm"
"161","LOC144624942","GO:0007155;GO:0030246","blue",0.0434794699472525,0.581045641678418,0.843839716798777,0.00364312942407318,"Warm"
"162","LOC144625443","GO:0003723;GO:0004521;GO:0004534;GO:0005847;GO:0006398","blue",0.301699779263753,0.474892164367834,0.161793571810088,0.0220303053203661,"Warm"
"163","LOC144626318","GO:0000209;GO:0005515;GO:0008270;GO:0043161;GO:0061630","blue",0.197383726102595,0.430868760419335,0.366655099502968,0.040116884446755,"Warm"
"164","LOC144626600","GO:0005385;GO:0005886;GO:0071577","blue",0.316255892853333,0.524651292996789,0.141515743977301,0.0101632548135983,"Warm"
"165","LOC144627184","GO:0008270","blue",0.101956973123415,0.492353857043947,0.643428904715706,0.0170034089526284,"Warm"
"166","LOC144627709","GO:0006513;GO:0008270;GO:0061630","blue",0.0818032432487509,0.607765090382636,0.710593257273125,0.00209642052119201,"Warm"
"167","LOC144627897","GO:0008270","blue",0.370321005445587,0.523875099462463,0.0819622609467535,0.0102956605631444,"Warm"
