"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","pair","DEG_group"
"LOC111104748",77.4964964024903,2.38619935373847,1.4965323866722,4.14477744108475,3.40143907240614e-05,0.0188410401860676,0.0457903626922314,"W vs. H","H"
"LOC111102389",79.9582190717089,4.64689906196826,3.39495162806801,4.07676498502812,4.56666072938279e-05,0.0226209517069778,0.0643027398998249,"W vs. H","H"
"LOC111103084",710.995331079342,10.8219851286622,2.30803005938312,5.25370239004272,1.49071694367324e-07,0.000165145735342725,0.000264513366033177,"W vs. H","H"
"LOC111105027",94.0494814098272,6.47383635027698,2.87492719507503,4.41008230071983,1.03331339854614e-05,0.00809689257441261,0.0124032831600282,"W vs. H","H"
"LOC111104864",365.848981715303,-1.01964274218197,0.619144400457779,-4.07981109087252,4.50723142180071e-05,0.0226209517069778,0.11190389130099,"W vs. H","W"
"LOC111104449",642.325377511694,6.98535893694308,4.26046154560829,4.20140354476573,2.65265263401556e-05,0.0160795794666071,0.0338412181365915,"W vs. H","H"
"LOC111102786",15.7041758727137,1.61901533315941,0.996973222723411,4.20220577208936,2.64326690730918e-05,0.0160795794666071,0.0587808083423609,"W vs. H","H"
"LOC111102691",19.3522193884361,3.81974396428198,1.19666429188479,4.64999418954503,3.31944380558891e-06,0.00280641503005671,0.00399152501807686,"W vs. H","H"
"LOC111103462",1654.64250013933,-12.5806235932825,3.73173382457394,-4.69092794366899,2.71968747150031e-06,0.00236943017219951,0.00309638268283318,"W vs. H","W"
"LOC111104391",1524.43744025258,-28.2303713533264,3.26558687365143,-8.80588792217628,1.29820719443606e-18,2.08537512678237e-14,4.19627612088151e-14,"W vs. H","W"
"LOC111106758",18.4721403450571,-26.1219961013238,3.97132390714655,-6.76170658738693,1.36375678725057e-11,4.86815714488879e-08,6.79385186846368e-08,"W vs. H","W"
"LOC111110229",48.2216070534343,-19.0087560230072,4.38097423162199,-4.96802725192439,6.76374590960286e-07,0.000700964080121971,0.000624149506971187,"W vs. H","W"
"LOC111105787",61.8285746350456,23.3291483093894,3.97403246615123,6.04083567784615,1.53318060022768e-09,2.59244700755341e-06,4.62435421023512e-06,"W vs. H","H"
"LOC111107623",25.4998044302459,4.53822789475749,3.71791676278536,4.01098111699449,6.04669468806049e-05,0.0259016213657759,0.0831664288952153,"W vs. H","H"
