"","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"LOC111109662",6.37897465214831,6.86831098867493,6.98819570443636,7.26298601379323,6.95014074064578,6.63542014644153,7.00089252271256,7.12556444326087,7.05230974586529,6.78819720311426,7.18133022597338,6.50601107555317,7.27630020676418,7.69338129824729,6.90070944755296,6.77815495325518,6.81359347781227,7.26540354506557,7.74046557460062,6.73381340082681,7.1705759405212,6.70008600720438,6.90390612020239
"LOC111109559",5.92780585466418,6.54964689875385,5.92780585466418,5.92780585466418,6.35242560204594,5.92780585466418,9.88397129354102,10.3126652899139,9.23686963346426,6.14589780059545,10.5119668553876,6.75974881404274,7.43397305596907,10.8141345149065,5.92780585466418,9.90630206191723,6.78936222028796,7.41303135464543,10.3336913430163,6.54043191613407,8.17043731182473,6.24621908951429,6.38967036600222
"LOC111104223",8.32309509584157,8.34317153922993,8.09520633422092,9.3456937417055,7.94822360671896,7.9341944920659,8.8245436758242,7.81246386747259,8.41426118146298,8.42516504675981,9.37033161642356,7.96351735109442,8.41136644034028,7.89046782243899,7.66660476228294,7.90042177205006,8.53493041200569,8.01548411617571,7.87284010035621,8.4739027422009,8.31698597808955,7.70904410355301,8.36408700184517
"LOC111105624",11.5812995234248,10.6099117175978,10.9232784773016,11.2554522839641,10.4569740939848,11.5795090802985,10.7925801598677,10.7240090053221,10.9068139330229,11.4860115258597,11.1715799059543,10.7868204763003,10.8592445972818,11.385103477244,10.1066836535516,10.0562123647313,11.0953964554714,11.3119475451378,12.4895291452076,12.5099917703196,11.2574829687204,11.8115348727801,10.1115903843842
"LOC111104314",8.71088259412272,8.97440258004465,9.89822608394326,8.61096295916485,9.14918843855394,9.02425176986536,8.39785725563409,8.30013546282117,8.88424536231384,9.35336390450931,8.47031634281822,8.74224921048531,8.41928815328338,8.75317305048359,8.6958841986088,8.44943194290732,8.49761687056041,8.39993363728963,9.04292397162663,9.14594633413006,8.59442528946504,9.36197473103006,8.93056212090315
"LOC111107779",10.2431247944618,10.6569226736279,10.0931826967068,10.5198594092316,10.8114688733871,11.0919617321537,10.4100868740016,10.2259106331042,10.9703423150866,10.8414222061326,9.36757111504193,11.0618217300448,9.87232699484963,10.5192869877823,10.1814254153801,10.8915112128957,10.837514439812,11.0028485281249,11.3569591478845,10.5974843034459,10.5801320199158,10.9240921906288,10.7304923674466
"LOC111105567",9.7597205753819,9.42785676355257,8.17645309823337,7.52227260890995,8.69905483906604,9.55168905158729,9.46420292197153,9.3233285503236,9.36951508797954,8.9547439107817,9.87763578262012,9.94849573951025,8.6511517622926,8.91302756048061,8.03283018996646,9.56704557156656,9.82908745858993,9.52115160647422,10.2386584231506,10.6848394116554,9.08134204393987,10.4597918880806,9.48563165463911
"LOC111103011",8.70483759821438,8.75784432324973,8.62600619472025,7.74213539418859,8.70281830271534,9.5736283080326,9.25363195770504,8.51363804500638,8.66778092807896,8.92564173043809,8.69301610891994,8.91805592562925,8.3993962310378,8.83743895656207,9.13871836527899,8.90674087018422,8.14795004569223,8.68801813239793,8.62296625956018,9.07479910812943,8.86342850359217,9.34874443472741,8.64640491513946
"LOC111104456",9.64168204807902,9.75176545170113,9.47607258630269,9.69506133700142,10.7803989833427,10.0127415203875,9.37575163449972,9.34952703245498,9.45259364419273,9.91908726631278,9.6856337101682,9.58684434661766,8.94174425436508,10.6185898163863,9.54008567707336,9.97950558591205,9.40231241357564,10.6889535216905,10.1775731177133,9.43488667732278,10.2214989397768,9.55077189456011,9.73322066572426
"LOC111109995",9.25574408795746,9.6959572190552,9.11544503759128,9.85201726574863,9.82662551024989,9.38783990141322,9.7006875632244,9.66748072380372,9.84508978104918,9.56073691273145,10.8490969857095,9.31332570000659,9.98426452968457,9.07036818975654,9.44339275106044,9.78385190253414,10.0696654219157,9.92702837807073,9.52438191558751,9.73456949277824,9.77469493981861,9.35316826384572,9.77339106651391
"LOC111107150",6.22385051346292,6.33100350555477,6.167040119629,6.20684808510325,6.68153212737517,6.22751272276539,6.43095152032624,6.35151885555135,6.20982846716814,6.33485564235968,6.13472686275971,6.18776933818555,5.92780585466418,6.51391367984859,6.33124531445814,6.93816912337253,6.22719056771391,6.24724147756916,6.27624566804425,6.58870637019092,6.89887065881122,6.88490195188194,6.79477500436036
"LOC111110534",7.04803910029413,5.92780585466418,5.92780585466418,6.32182087921924,6.99791469585914,6.99934891016417,7.28209091348326,7.37571331106413,6.15819827719101,6.41363985740827,7.22573985738672,5.92780585466418,6.27923015461423,6.90940455817477,7.36082755933179,7.37272655318936,6.44452010729342,6.6702597488161,5.92780585466418,5.92780585466418,7.39284133202793,6.61066191185823,5.92780585466418
"LOC111104617",6.58524060372882,6.96045573934506,6.3741034604795,7.11245589500358,7.19339657183301,6.71247488376072,6.81048335837309,6.58098780564384,6.38713795118664,5.92780585466418,6.63802250792921,5.92780585466418,5.92780585466418,7.15923965393236,5.92780585466418,5.92780585466418,6.44452010729342,6.81891951355337,5.92780585466418,6.67537478994215,5.92780585466418,6.11189026729558,6.22066058080605
