"","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"LOC144625593",7.45847116473938,8.90267614890591,8.76970939172277,7.30006395533267,8.7847741110056,9.44251068225818,9.16501969720177,10.0638161923273,9.92525653059805,8.61437953198476,9.31972599283062,7.24189603446459,10.4778256880029,7.52727228862773,9.9338404243409,10.2259876517357,9.68376879947705,7.74898696619328,7.78823086205554,7.66249100696381,7.75511962257302,7.56759237538019,9.88725885208254
"LOC111105379",10.6030766680065,10.1380563480367,10.0152379873022,10.1765283458934,10.335055592059,10.3197450002174,10.0954044009364,10.3830354824662,10.4076388944995,10.5866225592978,9.83219855863711,9.86281372785257,10.8141418926213,9.8249546009622,9.76543831483402,10.5763490309248,9.37705142115429,10.9484804607743,10.2690109845671,10.0689562232317,10.62325002524,10.2468093667518,10.324998023844
"LOC111103944",10.0197770387735,10.8005732387446,9.52800515276321,9.66574176020376,11.2678179146378,9.78506156446273,9.42007746566042,9.0694255253768,9.17654982549113,9.34050127776426,9.14358796046118,9.70832598915251,10.4386737747392,10.7597764166034,9.0219663005365,9.16931043112298,10.7952731849231,10.2138903517745,10.4071110543118,9.48754196166691,9.82629360461691,10.0125470745127,9.3350176800763
"LOC111104649",9.45389848315601,10.9442901733775,10.453606663355,9.31881171775036,9.58555224363246,10.0883178576549,10.0288838090007,10.1579024437448,9.66002481775197,10.0279305496164,10.0205844046275,10.5878049084676,10.338900086517,10.5731771665442,10.0111543190565,9.48971951280083,12.5544850169168,10.1750560274432,10.2019612271849,10.3682074604189,11.3741592156847,9.97735417003848,10.3489105625429
"LOC111104390",7.44257319315064,7.36279467851161,6.73099592741896,6.88948096744202,7.83871218383417,6.3896419711609,7.26795949574139,6.81606359348322,6.91833209190444,7.57331496121554,6.72152522077388,6.55846687125499,7.57809690638646,6.77583490515895,6.47027240537643,6.43461214606011,6.46976705122241,6.85064343095196,7.15430851137845,6.8082894207102,7.2187273667548,7.28631059701612,6.9939445096375
"LOC111104017",9.80062855719318,9.97422542566469,9.86183689217961,10.4141304187187,10.4125840083472,9.90277573888741,9.70284640723519,10.0935361889056,9.8900762592363,9.65734834687618,9.92855458576943,9.93202124224481,9.89907281722859,9.72384730188415,10.1748291278007,10.3027522713821,9.61487825582956,10.8932415478894,9.68539696571477,9.88217773501945,10.3044004100903,9.89070259038574,10.2052532403353
"LOC111103611",14.0067573223108,14.0775317509651,13.8445381628066,15.0296374158853,14.9780858466273,14.213489962699,14.1665449405408,14.4920539712151,14.5141938794909,13.9211639151829,14.4276707867266,14.1345439247989,14.4265555748885,14.0472789247611,14.612896555435,14.8407269636291,13.6958211008058,13.9680619009527,14.3399437524785,14.3513890567336,14.2580481287208,14.568950736757,14.5781243398888
"LOC111133050",7.02962291340527,7.42796460307764,7.11747655590127,7.7707113966834,7.47538899793942,7.92981626605991,7.95355206454599,7.33976459660429,7.41163255378108,7.64121049919958,7.18695572582803,7.44374287251355,7.39025601793394,6.42181324134957,7.54912403584974,8.1587581062925,7.44669128881582,7.38514464610973,8.08461169004473,7.51721448385891,7.47203862116587,7.6403092698878,7.88619497586662
"LOC144625688",6.575593428128,8.04006790248626,6.66303587338043,6.95981655487749,6.53005845916792,6.32770694607909,6.50385084136679,6.71818024282468,7.27707768722497,6.21271805403996,6.3322053385238,6.649811106147,6.93226348418029,6.98200653258024,6.5225343304768,7.00245262384262,7.18616240281625,7.12959837857448,6.8716104079773,6.77493309492639,7.33846125072024,6.97905390718988,6.55772636362371
"LOC111104278",9.62915456697955,9.76231881711763,9.87224524751127,8.95933290542857,9.32904767278609,9.90144565901819,9.37634701894943,9.19842900876256,9.59585551457923,9.88800570042824,10.6146485230978,10.1356846417613,9.74213327962869,9.86110045463269,9.85511517523747,9.01705722096257,10.5087613458056,8.84853182686989,9.98138503610025,9.37825292252565,9.46037160726664,9.52916267699019,9.30927696133056
"LOC111104159",10.6813486803294,10.9309010361578,11.2463357468929,10.9452772801492,10.8999805084067,10.5981485727931,11.0434314958309,10.9805788749529,10.6804980691688,11.1543712296355,11.1258565020792,11.3689953275847,11.0811442760613,11.1009782932503,10.8245089926006,10.6629496035029,11.4925915161534,11.0951234821952,10.8979139692946,10.6378109369972,11.1157139344429,10.5434919212075,10.9156952412449
"LOC111103963",10.3541469523451,10.4573427337374,9.96388173763754,10.0356433491879,10.2044580765501,10.2038479559125,10.44264885543,10.1390295995136,9.99533466743294,10.0641774435906,9.97440587674787,10.2016794365733,10.1783096163839,10.1654496998658,10.0613388146603,10.4309354675503,10.3590191229225,9.96444162545469,10.0365156827037,10.2184956751969,10.1542360214788,10.3471592754291,10.439460869736
"LOC111104603",11.5847810548772,11.3584069848128,11.7300307156673,12.5922888238055,11.5595811752249,11.0000571390445,11.2245267871588,11.6804119659516,11.4787746353899,11.9431952873303,11.3595043688146,11.2618124136227,12.0033961576196,11.287545656649,11.3489793699247,11.5102459715797,11.5507055420007,11.8588637932022,11.6224835936906,11.2165015025199,11.651582631853,11.355849872815,11.2198680753777
"LOC111105546",9.16321347866372,9.47684768701135,9.26811246494723,10.2475475443706,9.79249772410249,9.31591952212671,10.0538283592558,10.9069202878296,9.15483237131472,9.31526331378231,9.30537514207158,9.35773277518171,11.118159370365,9.4766263154822,9.32171525847619,9.99567962923806,9.51142998091897,10.3117378973815,9.41651408636582,8.73415535471768,9.94233378211866,9.68596453781562,9.88918204175188
"LOC111103630",12.0182049186256,12.0791355643171,11.7192993023305,11.789876680233,11.4823743294637,11.9223366114789,12.1044062969918,11.7818699839474,11.872245765857,11.5138552973254,12.0802649577933,11.8852893376574,11.916972697582,12.091984881966,11.7290178979337,11.8669240943029,12.0009312397625,11.657061489779,12.4530718550538,12.0675003791155,11.6762340262662,12.1091180398456,11.845263705648
