"","MEgreen","MEred","MEblue","MEmidnightblue","MEcyan","MEbrown","MEyellow","MEturquoise","MEpink","MEblack","MEtan","MEsalmon","MEgreenyellow","MEmagenta"
"C2_W5_W52",-0.058323371335709,0.0559487473042837,-0.0531120780053863,0.00150595894890629,0.0709290382932679,0.0797413361440358,0.0750160278829628,-0.0593637782086988,0.0418776692981139,0.182096942429699,0.35185033614705,-0.0935655052279089,-0.0415861160533658,-0.0746380801724952
"C1_C4_W37",-0.111212624039762,-0.0134640423357829,-0.0259123860249072,-0.00239411943286604,-0.200828166257042,-0.0287027464079704,0.0683780775077493,0.319692939592516,0.16480714354064,-0.0389763221576924,-0.0036438697373048,-0.115498723327801,-0.0321702145093339,-0.105501871103583
"C1_H2_W13",-0.0849867386159848,0.0891519183172342,0.114316578938165,-0.156073967798685,0.0772172706816349,-0.0618718492254014,-0.0519349509572454,-0.0834961983209599,-0.0285345268534733,-0.0549867931158477,0.00724344572295479,0.0100016688331978,-0.0604318831122275,-0.0141409160405325
"C1_H6_W62",0.135622161685468,-0.15025539276402,-0.0395567085963457,0.0597588538237584,0.00489139822587536,0.0708567232414224,0.0307902581076161,-0.0314657754953802,0.437430927822537,-0.0314446762824679,-0.0826343648730556,0.0410034694685608,0.0651557711152687,0.0657110272051616
"C2_B2_W16",0.180872984202329,0.0843137491238805,0.0338269621152647,0.108766921103864,-0.0506216976462448,-0.0442121040523715,-0.084953991991061,-0.0453338815443618,-0.0438585519424113,-0.0551845924567976,-0.0516363799891676,0.0824515805080541,-0.0908208100928744,-0.0516013390963872
"C2_C1_W03",-0.0370903089047027,0.118080725132046,0.0335527528042397,0.0926252311168358,0.0604641155095215,0.014607074766101,-0.0547072970200569,-0.0614336607791088,-0.0336325675386484,-0.0519676546312663,-0.00511457832504028,-0.0310200737437399,-0.0554558210487395,-0.0768734338093006
"C2_H1_W04",-0.0824641353877014,-0.0441337146716078,-0.0772595956077708,-0.134815057647149,0.0240354034866274,0.080955776066355,0.10930729091179,0.12816353003744,-0.0220228520420959,-0.038984822724277,-0.0315732979934873,-0.052975264388826,-0.0565043406362046,-0.0312529104421078
"C2_W2_W15",-0.101231454092912,0.090275985936953,-0.0272147450744952,0.0484986856012441,0.014947303422123,0.0406933676618475,-0.00672315133311783,0.148016296615405,0.0517489788721464,-0.0150304443454386,0.077713927726874,-0.0838964167065222,-0.0772237266339884,-0.131147585368122
"C3_B3_W30",0.152956444508883,0.0227131292260011,-0.0708165683371824,0.0913380773388471,0.0649232263143472,0.0285611681779224,-0.0239740028880168,-0.0486666471882906,-0.0339545711383026,0.132062745913276,-0.0623421092140715,0.064799756639709,-0.0279141376686812,-0.00181769863117182
"C3_C2_W17",0.138667055926241,0.0834000572974378,-0.129846599123996,-0.0215399535400965,0.0880292006633724,0.116364041043131,0.151216472867826,-0.0607841265253399,-0.0537059043211105,-0.0898934232918672,-0.0784774007677621,-0.139647966720777,-0.0821795057505716,-0.200656641196521
"C3_W3_W29",0.133745961466636,-0.00960056269116436,0.163142840496663,0.111114269284671,-0.303409900555017,-0.17803904144928,-0.212581030861152,0.293378436277697,-0.0212007119184503,-0.0420041035314694,-0.0508742520978308,0.13245046025612,-0.0142264056106442,0.0555598820898008
"C4_B1_W07",0.174363101483152,0.0200937640885672,-0.00441066228864702,0.089179523865625,-0.110755635363008,-0.0360993783712342,-0.112219444487436,0.0846245005957389,-0.0169498825609766,0.205343070692035,-0.0531795604519704,0.184893930705314,-0.0647142337570457,0.0172381049598568
"C4_B5_W56",-0.0536859976320183,-0.219842080235296,-0.255107937047614,-0.084770220833043,-0.130987586847862,0.205774990069651,0.064187846834245,0.113079570205332,-0.0253527960720167,-0.0489215651716421,-0.0277535585767495,0.0204275580667044,0.305806784900348,0.184666627182862
"C4_C6_W67",-0.0758381047080163,-0.0326567780169998,0.0283027176841059,0.0593117795779918,0.0392933533028204,-0.0010223838591315,0.0336448995830707,-0.0812638680415896,0.0332597070420545,-0.027645934270962,0.00717099968723175,-0.0254459997386324,0.0145306298603255,0.0474635661539286
"C4_H5_W56",0.203596653021919,0.0862168248198258,0.151159741555508,0.149041635597364,0.00675472833805335,-0.160196044853412,-0.125084801872372,-0.0859138792642149,-0.0470611107231862,-0.0696147387920612,-0.0718874094313837,0.0478260666881426,-0.0870283779569044,-0.0429110275603327
"C5_B4_W46",-0.0980905733405934,-0.0864417315712065,-0.0207351538664047,-0.253502857221212,0.0277121082560983,0.0674103656176278,-0.0382743249348514,-0.0526385098909186,-0.0276806916993325,-0.0538613141586582,-0.0307461397376018,0.127232538957366,0.0968253353326978,0.200267324148628
"C5_C3_W33",0.127714907914771,0.0952694668971907,-0.22207839106315,-0.0448769453917113,0.160048503667933,0.130814436522137,0.141575827021535,-0.0614151883731048,-0.0650956302004851,-0.0761066664405444,-0.066881976353466,-0.0928189123497313,-0.0742765625928832,-0.157079437614495
"C5_W1_W09",0.156607790423595,0.132963560243073,-0.0219380601413565,0.0826324087697978,0.0675893215871972,-0.0424446431185105,0.0114038351297682,-0.0705521701006929,-0.058499384730853,-0.0796740757409664,-0.0608887370286491,-0.0183639101057426,-0.104428331801675,-0.121677902452515
"C5_W4_W45",0.0802594018077954,0.0422048934935173,-0.0013844964302873,0.0447981552106536,-0.018313377516393,-0.121565772706143,0.0631188686076302,0.127491784329644,-0.0454616321430311,-0.0798167643352276,-0.0648284133366272,-0.117104882038583,-0.0310881750189695,-0.123683954147881
"C6_B6_W71",-0.10084444060551,-0.100886762488804,-0.0179572509767408,0.013109212596698,0.0260080942046772,0.0144540432351303,0.00985599481574474,0.100306330659537,-0.0304393221622789,-0.0500088591847106,-0.0194453706162909,-0.000229511656257993,0.0695087498950929,0.125020723594124
"C6_C5_W59",-0.0491492927792328,0.0949096332455692,-0.0324262823023728,0.0345207800517636,0.0471170350081766,-0.0131684508597543,0.11162965384377,-0.0551370112926045,0.0157803253723597,0.224927380368511,0.125410659530541,-0.157452725465458,-0.0445184624794327,-0.161193814765373
"C6_H3_W36",0.13324145366076,-0.0394268538255287,0.0101659418295423,0.0956334477929432,-0.113598844817312,-0.135264730955807,0.0424247459834376,-0.0752386507529431,-0.0518529471159259,-0.0637610572381812,-0.0593269305486761,0.0452248489123593,-0.00820544846703324,0.0439815337485127
"C6_H4_W48",-0.0845548056740476,-0.0144145112638576,0.113081224302137,0.0923981270641624,0.0790365055744122,-0.106959220100021,0.0413936442172976,-0.0949379079630657,-0.0476882998687596,-0.0674443994693211,-0.00579338467398136,-0.0528379736707381,0.0066759819920512,0.0351909253963363
"C6_W6_W72",-0.0819302122047837,0.0494621749615175,0.166098289126846,-0.0982490535795994,-0.133044122065833,-0.0678089761477495,-0.171721957662286,0.0529184795073947,-0.0165112574421818,-0.0449777113444497,0.000885016953353116,0.156369652610065,-0.00666521667401888,0.125313485326363
"H1_B2_B13",0.118162974968761,-0.0254830190998281,0.00832087017523521,0.0513234949012477,-0.191441951353406,-0.0658340289329813,-0.16525393334162,0.138326482881235,-0.00400097621739082,0.189977213626653,-0.0533496686800549,0.263723446438532,0.0114383352808387,0.120734148063055
"H1_B6_B61",-0.0690479635069261,0.0200582885243824,0.140603470520689,0.12384781626295,0.0453002043891687,-0.036823511722848,-0.0812764649937148,-0.0779046018707814,-0.00599490595316302,0.0481122877573977,-0.0145058855283482,0.0660220168443051,-0.000272725037810581,0.126140434583715
"H1_C6_B62",-0.0803694299732228,-0.207854824043107,-0.0154509963474356,0.0351742267078192,-0.0703241023857708,0.0221733932751045,0.107485081132549,-0.0784859724581944,-0.030632040900932,-0.0706910293823569,-0.00489117992932688,-0.0687184074815748,0.225494912794609,0.125602028342031
"H1_W4_B38",0.125798772292287,0.0888253782834469,-0.0878049573220893,-0.093873435356281,0.0248000783692021,0.0419975639894975,0.0143082171702295,0.146488305241474,-0.0592200697978834,-0.0629142069018516,-0.0591200649570979,-0.0204167172522317,-0.114612526628978,-0.149426562374148
"H1_W5_B49",-0.126423491178614,-0.236430956604511,0.0658624842426379,0.137781688103018,-0.0658787590370211,-0.186508388643463,0.0403206437157688,-0.109511957098757,-0.0553035882762754,-0.102432633026371,-0.03441936919765,-0.0907918320856668,0.365570974508431,0.172497453201436
"H2_B5_B51",-0.0875094877239243,-0.273027397749426,-0.153541585986355,0.0220238584728138,-0.0634381468346843,0.141842875098301,0.184245538420222,-0.0708702442736832,-0.00684263247325393,-0.0644799533451152,0.0301236473489226,-0.0367604643942395,0.411802175475319,0.22338451179708
"H2_C1_B04",0.131732598685602,0.110177227645578,-0.052112495281114,0.0385699653539859,0.189740278391741,-0.00139430720055895,0.143293526299822,-0.0883308061203671,-0.0623455204458019,-0.089362456958497,-0.0610351482739606,-0.170565305683483,-0.100610591499889,-0.189807449550163
"H2_H1_B03",-0.0478602993907651,0.0186144943410972,-0.0356513133997338,0.0854975661620598,0.10137687561493,0.0747315094552676,0.12497549644364,-0.0940237332205126,-0.0332776392015892,-0.0774324184065817,-0.0202054903966383,-0.0698595228651498,-0.0804341796692875,-0.0530477098680891
"H2_W2_B16",0.19307543244548,0.0727392854855226,-0.0206188076714781,-0.0326671486846013,-0.0663368551188132,0.0315434155014893,0.00520000162348108,0.00982388707223459,-0.0481870493523508,-0.0719976478097192,-0.0821154209003927,0.004678536480255,-0.0380750646765015,-0.098532123218916
"H3_B4_B41",0.122243196406073,0.0229179637536635,-0.19758439620337,-0.159674852606163,0.0681577025455666,0.376430224639828,-0.0185967221684706,0.136036054725145,-0.0312426155257366,-0.0777441293012083,-0.0725310549454243,0.11644683084081,-0.0940060194127891,-0.00650004122399364
"H3_C5_B54",0.157605225611717,-0.175189602183232,-0.167642523869764,-0.0168591122897164,-0.0189165703057867,0.0696953177993745,0.163069062683566,-0.0549277657568984,-0.0517211778241653,-0.0791345318266864,-0.0767145330456645,-0.0349025705233446,0.12058753562187,0.0561591863534165
"H3_H4_B41",0.0712197086382018,0.0243086042502187,0.0113629328094379,-0.054759899416808,0.0701616071061793,-0.148334348214211,-0.00279730082669005,0.0661506896013185,-0.068395517798487,-0.0960298715223261,-0.092028167131181,0.0170396583764638,-0.081304858803979,-0.0242801668359279
"H3_H6_B66",-0.0700743923123983,0.132056046999601,0.0859949121860174,0.105349271229558,0.0390263705486719,-0.0391900448629244,-0.0594027107442427,-0.0879329158730859,-0.0171382242861256,-0.0551207011297732,0.00630220474536328,0.00291465382486205,-0.0955884392651829,-0.0636353052933722
"H3_W3_B30",-0.0547417806728189,-0.0828078562059319,0.133954456478277,0.087317416320784,-0.336820587606607,-0.097834881312109,-0.232091089774438,-0.00475345602843334,0.00337676317165942,0.146730565426809,0.0420968738868949,0.314661548212029,0.0601040961386583,0.261646043116589
"H3_W6_B66",-0.0739078607966999,-0.10017002254317,-0.0485044295352384,0.0102029219585281,0.0813157985502375,0.198693023051115,0.108834350536999,-0.0862385832141952,-0.0274999451664852,-0.0692027749494122,-0.020806978153452,-0.095161990190062,0.155501409968259,0.0274806534664447
