"","Gene","log2FoldChange","lfcSE","pvalue","padj"
"LOC111129292",1012.56840643294,0.058094738652601,0.105455792697137,0.448133814041054,0.840980067088813
"LOC111130870",2496.26889158121,-0.189871437216828,0.155826641020197,0.0197809333546656,0.356601841234973
"LOC111111488",1900.06793405761,-0.115647167668258,0.189221780454695,0.0546987591107968,0.488279897728672
"LOC111130860",4.28251060529543,-0.00377231353729786,0.184394440038863,0.8684671734185,0.972786875812353
"LOC111111244",94.3547266066062,0.0191471560427577,0.167806992843439,0.622472329059329,0.910092943166724
"LOC111137826",29.1568251597277,0.0514944341813215,0.197232847811067,0.145857286355834,0.621687346193269
"LOC111137833",5128.06790371041,0.139710975373384,0.146727129841667,0.066465309831991,0.508201789436021
"LOC111110267",3759.35376217584,0.0902720494939301,0.15386239192592,0.173181903637808,0.652850359010481
"LOC111101094",1460.44713359384,-0.020437819975196,0.14698343801799,0.736385124603331,0.94410466870123
"LOC111123891",1513.41617223145,0.0347942277315507,0.132807531915064,0.625492365961553,0.911195761444576
"LOC111130848",1464.00674188607,0.130029155143041,0.137864470518113,0.0896018647906437,0.551675424243614
"LOC144625914",6273.01795715513,0.0623839516241264,0.123708632921381,0.409255066851472,0.824483751357814
"LOC111128784",4173.87610791807,0.0304172163250627,0.148289027602772,0.614477687684818,0.906337497598666
"LOC111128774",448.183699860813,0.0183783874535798,0.166169625492998,0.650218450058005,0.920487528175001
"LOC111128791",430.150713258648,0.537294381381258,1.0958520154112,NA,NA
"LOC144625783",32.1362233626511,0.229615154798309,0.793202588809959,0.0053609387187601,0.24184680233718
"LOC111127317",2279.04750415784,-0.0623674577848746,0.143070051488347,0.355677343269958,0.793532979863499
"LOC111112553",94.7387304801658,0.0707171567223627,0.228190331189191,0.0656042632407002,0.505879331898186
"LOC111130840",6069.16780402979,0.0188396118620333,0.16390730322262,0.662472742740388,0.924089251328047
"LOC111125382",8.767217196215,-0.00415094232434978,0.218482815006353,0.804184085690793,0.957948317611373
"LOC111119531",1421.70095076143,0.0298545255846017,0.126126092099125,0.686918856121148,0.930700033334571
"LOC111127890",19670.2301923425,-0.0231451516228338,0.101473448600039,0.760277116460338,0.949044908823438
"LOC111122605",7.10944956680599,0.042467658854193,0.259282934641043,0.118713649666918,0.591291678145212
"LOC111125882",1756.60451937187,-0.0905351739707528,0.128326007867849,0.231309983233613,0.709058657726445
"LOC111125896",804.409237022096,-0.0916815797380772,0.147916560112306,0.184326218658868,0.663292840963222
"LOC111125887",809.025404392685,-0.0935656076911195,0.14578406021411,0.18252105849693,0.661383530382568
"LOC111104106",3.52762612104742,-0.0138028705606172,0.200467196623427,0.51203623274219,0.871082374918781
"LOC144625918",10.447434115548,0.0174177471442864,0.177800031065376,0.555138010590849,0.884121816305074
"LOC111110225",4122.40118610007,0.00649093248535631,0.156672452502569,0.897030711233595,0.979541552423709
"LOC111137561",1358.9342707436,-0.0326026017711558,0.139809722296866,0.626694528761136,0.911881499774169
"LOC111115085",1257.36247839682,0.0885642827970046,0.189523453648658,0.0823340302517855,0.539296578053267
"LOC111121419",1761.34034489996,0.0998084643252693,0.334434280405088,0.0235398574323492,0.37576363970435
"LOC144625919",16.7203963847558,-0.00759091280007148,0.205793347868622,0.683396535235067,0.928898187137728
"LOC144625920",115.600315659738,0.071376570221528,0.229962485677155,0.0637256963065493,0.504193809841409
"LOC144625921",151.519339942366,-0.0147043185903246,0.171543440847391,0.664914529711992,0.925167855422915
"LOC111132696",221.225743471801,0.0303823149058848,0.18410048952247,0.326512675294863,0.775176259689696
"LOC111111325",804.767624113016,-0.0328760142469682,0.16583452018386,0.458853481204801,0.845044146566254
"LOC111132676",1029.22323500669,-0.192529736859533,0.568427918894831,0.00601436988030563,0.251614594958961
"LOC111136926",3006.46682036961,-0.0242205257053815,0.16877768949019,0.536063429002614,0.879297550232152
"LOC111111564",12698.854337433,0.0327265307866737,0.132887287912854,0.645655014336093,0.918553826831539
"LOC111100637",1959.16834933917,-0.0902461998047764,0.151461207345391,0.180095426592658,0.658667360325348
"LOC111128188",438.270702112212,0.03062399990367,0.156487557092509,0.563222026517635,0.887529419780744
"LOC111128222",1496.48250480416,0.0124958697521539,0.147241178699597,0.835185183464274,0.964511761353546
"LOC111121270",93.1141682561833,-0.051334815163798,0.162133668026118,0.328699511851846,0.776667882834991
"LOC111099659",1003.76865076877,-0.0444180148772373,0.119353071866439,0.559595627717692,0.88613886679198
"LOC111125589",925.468651403414,-0.0221929805354589,0.131935585784202,0.755848545147554,0.948401804705468
"LOC111125571",4760.04632065948,-0.0877952909471677,0.0855031886469343,0.214178302227209,0.693008277671067
"LOC111135077",85845.8484635298,0.027346520611375,0.129467436851712,0.70671533140496,0.937908472490286
"LOC111134598",3195.92537396413,-0.0542376978771718,0.118571294470878,0.477858352577147,0.854983948024809
"LOC111112007",3397.30387398412,0.0151186140757133,0.12700312573457,0.837096341693882,0.9647777099798
"LOC111119818",352.971360969049,-0.128817475212215,0.174345469793504,0.0579594086261139,0.495087322604839
"LOC111121096",1812.34360718334,-0.0363479700444359,0.135212815991559,0.603897782873049,0.902911553927435
"LOC111131375",2312.55490629285,-0.0864982149873362,0.131084344091375,0.246710291899696,0.72483054693095
"LOC111105035",1834.02594188534,0.0750732997601815,0.125833639549023,0.320162911480475,0.771122988530931
"LOC111105370",2102.52279321464,0.0647729535664524,0.149838677905664,0.310507372923807,0.766678858120762
"LOC111100615",176.255612555342,-0.00549436905283353,0.158904005778009,0.908014360408914,0.981862716386927
"LOC144625927",7.3206254129212,-0.00557286138602573,0.175839161252624,0.843523952833213,0.966095887649237
"LOC111102085",363.779661339351,-0.0920791300336369,0.159528934269957,0.151186645042891,0.629225138958345
"LOC111100099",11.9551787782453,-0.0155350190645267,0.184605610528587,0.541911339144439,0.879486808062322
"LOC111127416",1980.26664402559,-0.0133751021375327,0.124749352180834,0.857236708778889,0.970342625746971
"LOC111127424",3712.04958929695,-0.096118584504812,0.135244757843818,0.194842509662798,0.675031698753954
"LOC111101696",322.075888263403,0.0689282182673257,0.14604526408859,0.301215374302313,0.763262616143685
"LOC111106990",1156.33149421776,-0.0609727045556879,0.134446841431055,0.395793980068291,0.818906537038198
"LOC111103397",1995.70076491947,0.0100831723630271,0.154683717970361,0.847771046348026,0.967339634600202
"LOC111099041",1095.56307976769,0.0845464715347758,0.144599021262296,0.223565002145072,0.701973273326437
"LOC111105397",43.0638048193743,0.00359134237627482,0.165667445065656,0.927083431790646,0.985775130171589
"LOC111103401",4328.49215492445,-0.075356985628064,0.132732152467975,0.30473758206418,0.765034924606148
"LOC111114348",1357.67897158611,-0.0919822699935164,0.139368442908294,0.203966797447713,0.68246064919398
"LOC111103323",1970.73273534199,0.0499870114139656,0.15208918842681,0.404303862133682,0.822766761996971
"LOC111130260",8012.27850758454,0.123475269836378,0.211190586140405,0.0330340752062964,0.420455146091779
"LOC111121476",15665.8616478304,-0.0594599733746798,0.134026913373306,0.408233306340078,0.824343787194049
"LOC111121657",436.031811179868,0.0369531155246496,0.16816273425472,0.395081046550689,0.818603777193855
"LOC111121537",852.507354008745,0.0165084281106941,0.162823111352734,0.707581550030248,0.938078433382326
"LOC144625931",56.2524901547729,0.00390329021488133,0.165258280091538,0.921806864779511,0.984466199786368
"LOC144625938",626.192667937115,0.0108148700233513,0.14898163817202,0.852992492258649,0.969275288133274
"LOC144625024",4.23864279504627,-0.0231375002597067,0.216191677713876,0.304175987489641,0.764962770945014
"LOC144625933",78.4031716915258,-0.00196931012604052,0.177452083881621,0.941022403791929,0.988917223387374
"LOC144625785",3.55847964665503,-0.00722768273883096,0.177743438229899,0.788930192752433,0.955001580774864
"LOC144625935",270.367170645034,-0.00293085777512339,0.174491727126734,0.919988236090876,0.984184037071761
"LOC144625936",226.145362176497,-0.0128190069850239,0.174060513120121,0.680421995335499,0.928371709319418
"LOC111124278",3.95552096980971,-0.00575403191162786,0.221455805593296,0.73136737506862,0.942986686418121
"LOC111121491",214.206426340421,0.0100082320621127,0.148203073068588,0.865462944123952,0.972341914913019
"LOC144625934",124.492648616735,0.00625914035258372,0.188753506292006,0.77182028334744,0.950630653279247
"LOC111130687",245.780325627572,-0.00967712309565117,0.162459758637866,0.824360814481464,0.962610057054317
"LOC111130204",632.717997910676,-0.0550272237265348,0.169569480446089,0.253896518083961,0.730596032871267
"LOC111101169",5843.73329674206,0.0337169676566508,0.126861164612109,0.648127706250376,0.91940590175702
"LOC111119716",27.116826374094,0.0293781967587138,0.174888829344872,0.407969859133413,0.824343787194049
"LOC111119709",18.5952967397742,0.0511416190025934,0.209970055021102,0.124995599198639,0.59774880710825
"LOC111130177",99.0726773648983,0.0357693026244612,0.179481426368194,0.307583078770272,0.765760013420964
"LOC111124850",828.765902232881,0.0899296342650549,0.138885508285447,0.21402527919753,0.693008277671067
"LOC111124863",1039.95902378888,-0.0632664986851458,0.165506596548383,0.237041886965588,0.715433764775891
"LOC111131292",47.8585646216818,-0.0609901740643857,0.177062068621227,0.183367063111489,0.662044859988323
"LOC111110131",2485.31283990836,0.0542463687800785,0.128099213209965,0.463703982825929,0.84808001695826
"LOC111104454",256.254221193075,-0.0265638947876559,0.136896467061774,0.698790203026855,0.934657096107317
"LOC111106561",312.933979644623,0.0359244185570252,0.15119132266212,0.539502495015265,0.879297550232152
"LOC111108648",1238.83124569165,0.0702408574056913,0.152774385777305,0.265393742172579,0.739562065859358
"LOC111115748",11509.3669957209,-0.061054968644929,0.128051129254316,0.411285251033078,0.825012527366955
"LOC111115980",490.53554382041,0.03747223169932,0.139761256366329,0.577999853828566,0.894423655145626
"LOC111117581",234.077031653015,-0.102981212366456,0.167538958324817,0.105024031953943,0.572282479515032
"LOC111114641",180.767921517244,0.00666352123920847,0.168542373889275,0.852930436013539,0.969275288133274
"LOC111127966",2347.57319352233,0.00771391945945867,0.129458175805465,0.915153543624369,0.983905050938967
"LOC111118476",798.606097413826,0.198424043574965,0.179314728051901,0.0148415257021195,0.32859675079357
"LOC111117949",307.903314036731,0.0484943703772422,0.160001830518414,0.364848612719199,0.798753720509894
"LOC111136936",22.9125543726451,0.0162499676394478,0.179100363652637,0.5665367244047,0.888876584841857
"LOC111116872",50.8097988188675,0.132470330923626,0.510419314905586,0.0130136844910476,0.313813548452399
"LOC111135136",3844.11542733461,-0.103631121314219,0.123197959974264,0.179345872120882,0.658261945263687
"LOC111135129",1353.65315566706,0.0824536915599861,0.145230605839902,0.231459447790005,0.709213831247636
"LOC111124109",45.2736092996852,0.022377380679297,0.177421251465432,0.475669218384847,0.85407585464575
"LOC111130161",168.054556496134,0.0585436933707234,0.175613627108304,0.200378637676945,0.680409875163139
"LOC111115930",34.6834237251277,0.055313543996616,0.215737091253143,0.105756238318405,0.572775525758904
"LOC111108867",92.6976213533123,0.0858396527504347,0.195512015659535,0.0758022515085021,0.526595709067094
"LOC111110154",35.5532346442404,-0.047302827079772,0.172297782715939,0.27913345093698,0.749264018264901
"LOC111118316",883.701398531336,-0.190616216739055,0.212273414738118,0.0131231646031244,0.314023979092422
"LOC111109243",6248.31996726685,0.156497749774655,0.17062139670352,0.0364067153113703,0.432756877088343
"LOC111134929",8485.03713975886,-0.168561904179271,0.132648376949973,0.0355575422121614,0.428339764924903
"LOC144625941",91.5224564160483,0.0138761054850895,0.17084318551537,0.687391212152698,0.930811150825386
"LOC111111995",4580.8954500144,0.103177447056042,0.146672742076995,0.147373945410024,0.624713924923368
"LOC111104675",62.3930183867483,0.0614362197324946,0.206207331684572,0.101530873415165,0.570656157911094
"LOC111130258",150.338932975662,-0.099071225244132,0.160998528707883,0.128110287935924,0.601765680529186
"LOC111126102",1893.80423906827,0.0775656151545271,0.116663991684875,0.314212193706978,0.768320764723918
"LOC111126076",3589.69427524397,0.0056912864911569,0.121576491203949,0.939731657255201,0.988337363212888
"LOC111119741",669.654259560583,0.0689818642700743,0.175949427720105,0.161804872862193,0.63955137414721
"LOC144625034",28.7505849455199,0.0446736567034543,0.20457951246994,0.158433940750897,0.636728811608396
"LOC111120908",3.21506961473819,-0.00442630718483284,0.182864730395962,0.850895637212445,0.968392980938719
"LOC111116296",121.812348983771,0.19968872810422,0.740556104678754,0.00678655527586629,0.263057611651815
"LOC111132154",20.555687172221,0.00364134367325378,0.193558401238978,0.855057422958548,0.970199304968338
"LOC111112448",24.4019279924402,2.98807658305998,2.34130072363507,6.22478049209856e-05,0.0346243454942297
