"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue"
"LOC111121815",405.871471469299,-0.0349362975293222,0.0871562056250701,-0.850579835699828,0.395002794570381,0.850616199618307,0.998191577625954
"LOC111121831",1909.4021493041,-0.0626358054121762,0.0803885015401507,-1.33923671299908,0.180493624174909,0.727701080353528,0.998454433163272
"LOC111121614",125.331924514028,-0.0171089422382365,0.0907478576290805,-0.475965423388955,0.634099011379494,0.926722719263942,0.997992504607127
"LOC111118262",330.053396896419,-0.0235908920490042,0.0948756626061863,-0.846404400830103,0.397327184293313,0.851318062441894,0.997012662023356
"LOC111118209",443034.148515206,0.00646813341706466,0.0903507930655438,0.177183165847196,0.85936451816411,0.975174901577904,0.998125731495071
"LOC111120639",1288.98794685825,-0.0497053639878393,0.0844855607185043,-1.13290253836029,0.257255183924933,0.783946407251854,0.998303480351321
"LOC111121346",148.561059508939,0.075986683695833,0.119818845293229,2.61987087576919,0.00879630663120362,0.359057022235959,0.956241181982399
"LOC111120993",2034.17337549267,-0.066275875169749,0.0797174863419098,-1.40592660351405,0.15974592059365,0.712362560435577,0.99846905520707
"LOC111120522",576.629441366801,0.0229720246861724,0.0879434452140997,0.574225766200282,0.565815035509461,0.909747828645063,0.998207122799549
"LOC111120523",1679.13062721083,0.0379575879121017,0.0855259392631271,0.887029235203596,0.375063160805492,0.84082458435671,0.998294023835019
"LOC111121404",774.336018988711,-0.045244221683956,0.0912075569395878,-1.25979323500203,0.207743960845402,0.746387738738033,0.99756597335924
"LOC111118816",118.368443909566,-0.0408655228898019,0.0993049782770178,-1.6811310610364,0.0927374603544155,0.639162866961353,0.991563799375258
"LOC111119055",659.091189443775,-0.109969103449208,0.0930403074496108,-2.69977579396714,0.00693862189361092,0.344569424550929,0.996202085234189
"LOC111119053",1023.85662577366,0.0272297921285021,0.0862196504726835,0.648511640222777,0.516654084589647,0.894702880270074,0.998305828122113
"LOC111119054",817.190235894055,-0.134450586541675,0.123106549212761,-3.28374652066098,0.00102437010816645,0.179534823490847,0.968275358043808
"LOC111119327",9036.69692185784,-0.0935053828914289,0.0809491828669275,-1.99291038656274,0.0462712607763793,0.55922656817351,0.998323680620431
"LOC111119326",2853.29459889452,-0.0320590079468693,0.0841173207598103,-0.729033609985472,0.465981103475971,0.880737302720599,0.998397431039811
"LOC111118248",51720.5727470496,-0.000468859115890122,0.0863277322564883,-0.0112321533475028,0.991038226697969,0.999116367421713,0.998414932637297
"LOC111118992",4771.5057342937,-0.0233879929711467,0.0834418694504904,-0.526187202099543,0.598758145113409,0.918792496510045,0.998452224239693
"LOC111118514",590.034046466444,0.0032163089728351,0.0840563295795923,0.0732971975800525,0.941569621710649,0.991681883482824,0.998486582282634
"LOC111120502",2663.82412126697,-0.0257138691625731,0.0848875452218587,-0.594439384568109,0.552218273045353,0.904409718100866,0.99838557785506
"LOC111120713",6162.40346776668,-0.0687776793356079,0.0780654736247191,-1.43716535231822,0.150671015340396,0.704172546436967,0.998513193756912
"LOC111119609",567.316513831675,0.00604939299003808,0.0973716948352003,0.304496215435773,0.760749875595882,0.956939876979138,0.996488737050815
"LOC111119608",1510.74478973539,-0.0313067203250584,0.102324223522112,-1.57849059382142,0.11445294736366,0.670119254633584,0.987389645453514
"LOC111120479",719.375908519545,0.0276402770355954,0.0948070228464651,0.976135831660585,0.328997156899884,0.821064511587542,0.996933404086842
"LOC111121545",4840.06586199582,0.017758113519248,0.0985076320911136,0.926702169111935,0.354081191012876,0.831689800832809,0.994563183175716
"LOC111121547",3446.26897437482,0.0195458757949613,0.0909493430274231,0.548369060279645,0.583438516460631,0.913507178278125,0.997941881075202
"LOC111121552",64.9276795250955,0.0316228041717688,0.0996813495100644,1.46735382109983,0.142279829690432,0.697264251914865,0.991640526194807
"LOC111121549",729.58598677042,0.00684727244908071,0.0967675311385266,0.314691954310763,0.752995553652058,0.955376656275116,0.996795489679447
"LOC111122431",86.9442629758729,0.291571759249807,0.610713510539416,3.55628302829387,0.000376138852064911,0.124194333603904,0.618022690688466
"LOC111121544",3373.17686525723,-0.0509928584199065,0.083381929064121,-1.13923982805345,0.25460313783646,0.78183691152734,0.998363718234083
"LOC111121557",16.4536692567691,0.019440482078063,0.0998134988858485,1.08671787317655,0.277161512602107,0.795912361745909,0.992628461490252
"LOC111121559",489.691300255508,0.00383325435017914,0.0979976170300977,0.215096738725618,0.829691896519575,0.970251233342689,0.996231413402773
"LOC111118504",304.792551211443,0.0474434006985352,0.0828277804897772,1.05155753413512,0.293002599717228,0.8022931688315,0.998401978624819
"LOC111120645",2249.79358924767,0.045896248969025,0.087559030465116,1.12480522183703,0.260671581204514,0.785517041028555,0.998080369865056
"LOC111121555",2195.42884615547,0.00601551620134087,0.0880303550547551,0.15118647192087,0.879828621472402,0.979996294661474,0.99830439981876
"LOC111118402",2228.89808312218,0.0401441528896916,0.0754930112271358,0.828771165328938,0.407233907472494,0.855531610728107,0.998657905784957
"LOC111122096",1437.08917609018,0.0254190681224206,0.0836485294591061,0.573794151249636,0.566107107057162,0.909747828645063,0.998439702059657
"LOC111122097",6660.86393072248,0.00643540995629756,0.0887865067407361,0.16584272913861,0.868280718717052,0.978062802502011,0.998250566228554
"LOC111120129",396.926486862477,0.0381587989940389,0.0919408246898505,1.10808956419288,0.26782313744815,0.789906953445727,0.99752881029373
"LOC111120131",554.053183748621,0.110392879972699,0.0724203477268552,2.23423914052979,0.0254673423502271,0.483109785391763,0.998577563191129
"LOC111117998",512.33433931863,0.0226452901385061,0.0918501821454258,0.663567075696931,0.506967435691292,0.891759891775552,0.997775726957313
"LOC111118421",751.194709399241,0.0285681769192327,0.0951626860586776,1.03379783914168,0.301230682043981,0.807402078305955,0.996742986911273
"LOC111118486",569.423031473698,0.0275834280684316,0.0950277385076888,0.990970487989862,0.321699991098841,0.81667099164985,0.996840335580152
"LOC111119697",4837.62384876946,0.0204556854074224,0.0912315435163057,0.581467484296202,0.560925426637377,0.907818488070258,0.997897781295898
"LOC111120266",122.55039146557,-0.023645706098063,0.0992696249447756,-1.20023285266381,0.230048919597309,0.762418999146858,0.99304549033954
"LOC111099849",65.2337886857331,-0.0156091838613493,0.135070359276925,-1.55943720595935,0.11889293602538,0.677687833224286,0.966263980580328
"LOC111120268",60.519449171959,0.0348871237764672,0.0972162347352684,1.39779501105995,0.162174632952191,0.713372515503997,0.994879059530591
"LOC111120664",777.676876636683,-0.00437970682237737,0.0847174079290236,-0.101121567091335,0.91945395773576,0.987362965136043,0.998463373901356
"LOC111120663",443.959303581555,-0.0394262559318367,0.0893122009342059,-1.02436174189576,0.305664445340178,0.809869833378033,0.997942783288321
"LOC111121366",11152.7457054495,0.0430517372238015,0.0781096994473641,0.904013637270628,0.365988170218075,0.836470348512573,0.99855255556307
"LOC144620872",379.275742842492,-0.0320114333029272,0.0894353315208208,-0.83870459744364,0.401635097805583,0.853510177966062,0.998001339361487
"LOC111120085",3052.81981406276,0.0565747591529285,0.0934887356167782,1.69574601169452,0.0899339907456181,0.635076303566557,0.996660557190439
"LOC111120764",711.676750089104,0.0107772152112478,0.107201010912316,0.987297206457159,0.323496959753492,0.816967078790515,0.985223349282464
"LOC111120763",734.913882342122,0.00921943923366577,0.100503655804178,0.661566480481207,0.508249095457408,0.892089109648146,0.993014834009435
"LOC111121301",334.466869401808,-0.0133017892239751,0.0843253383100325,-0.304545055904205,0.760712672146629,0.956939876979138,0.998450606029192
"LOC111121567",816.154533990571,-0.0239324762202026,0.0944813013244257,-0.831327503275449,0.405788641514358,0.854697435805217,0.997156109876443
"LOC111118800",704.659636831062,-0.0263801550218492,0.0939448075570285,-0.876644953136623,0.380679514480938,0.84340410700365,0.997257676269312
"LOC111121909",1781.62729152582,-0.0199056537676661,0.0940284800019721,-0.671939888945196,0.501621964954088,0.89090707256668,0.997376427684767
"LOC144621117",1729.63097896775,0.0201646994195309,0.0949823694282695,0.735740842985554,0.461888428641997,0.87864998908476,0.997079501637522
"LOC111116645",84.0529531254093,0.00320732460288311,0.0984741615423703,0.195275714388253,0.845177108190061,0.972647131666958,0.995942603605079
"LOC111120062",2054.47786140814,0.0377939486114231,0.0912262614254903,1.06146534712505,0.288478473092579,0.801375653090019,0.997675665265017
"LOC111119705",271.364036773623,0.0137197902123808,0.0953523218306127,0.524918690471542,0.599639715806413,0.919165397577505,0.997141689877168
"LOC144620936",72.6124324526426,-0.0135257355211951,0.0933466587887546,-0.436764444134611,0.662282187400843,0.9356655488517,0.997652608315026
"LOC111119703",31.9514303440935,-0.028933254048216,0.0973234431801361,-1.22680823875155,0.219894673533316,0.75645354081038,0.995135582416191
"LOC111119702",708.569279141077,0.0280654668197681,0.0888158184251279,0.720540216657454,0.471192447494305,0.88238196307292,0.99809401373032
"LOC111119704",925.269880351521,0.0106896117836498,0.0854381256925588,0.250585944722956,0.802134249562115,0.962811139577028,0.99841618086224
"LOC111122281",449.565215988763,0.0439765044619822,0.0930252117137573,1.33617741786542,0.181491290302354,0.727701080353528,0.997143427953772
"LOC111118587",5672.68187001845,-0.0429475596081763,0.082307507144735,-0.94544558147335,0.344431440750089,0.827388205663261,0.998438836957673
"LOC111118592",95.2048690769414,0.0133020194105723,0.0981428765520055,0.705748241000232,0.480344715060192,0.885212410444838,0.995371565060856
"LOC144620892",80.990047927443,-0.00107694334449444,0.0985174567544909,-0.0665527486635088,0.946937763398265,0.993101692271228,0.996115063692865
"LOC144620891",78.0517867680729,0.00112457375034059,0.0979026183816106,0.062557775081736,0.950118654125868,0.993346142110515,0.996478236970315
"LOC111118593",1273.85873164052,-0.00517463388832673,0.101873470812249,-0.455608786861997,0.648671323403093,0.931162249120611,0.992260281673571
"LOC111118585",2872.42330512801,-0.00860811488414755,0.0909463053886733,-0.24222294352336,0.808607417948843,0.964453705100711,0.998049249427714
"LOC111118590",7073.72821628932,-0.067649599530727,0.0817722649246153,-1.46862056750534,0.141935733056661,0.697264251914865,0.998379818365297
"LOC111118586",7770.89374955708,0.049711998195789,0.0566215388215149,1.07728831323798,0.281351481715773,0.796182360927551,0.998650314608781
"LOC111118583",550.788904241232,0.0511773256658855,0.0908439835256473,1.39396427233365,0.163328393793951,0.714404824100271,0.997552647397416
"LOC111120105",1728.61926583491,-0.00632467128275765,0.0851981950514734,-0.147516651150267,0.882724237790154,0.979996294661474,0.998440307060797
"LOC111118065",158.412889284852,0.034248793561851,0.103235995097747,1.68303258065702,0.0923687844527723,0.638379430113892,0.985451625571247
"LOC111118567",1220.70011358771,-0.00687579771904937,0.0921106799239919,-0.205708284113961,0.837018787167187,0.970963762965652,0.9979343317485
"LOC111118568",5667.47635149283,0.0363801822692424,0.0932238529682178,1.13435929936237,0.256643864323953,0.783281263108275,0.99724480506227
"LOC111120273",1579.6076781179,0.0827815616756813,0.0825770981997416,1.80685031177083,0.0707856216615741,0.607424592262366,0.99826639966902
