"","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","B1_Nu_O03","B2_Nu_O12","B4_Nu_O32","B5_Nu_O36","B6_Nu_O47","C1_Nu_W01","C1_Nu_W05","C2_Nu_W15","C3_Nu_W21","C4_Nu_W29","C6_Nu_W42","H1_Nu_B08","H2_Nu_B14","H3_Nu_B18","H4_Nu_B28","H5_Nu_B35","H6_Nu_B45","W1_Nu_G02","W2_Nu_G15","W3_Nu_G21","W4_Nu_G27","W6_Nu_G41","W6_Nu_G45"
"16256","LOC111127847",1155.75135568494,-0.0170874362426186,0.0789078816960002,0.204740236187792,0.828720585742405,1865.83741145952,1847.33863422171,1635.0154159105,813.282937412985,908.296497998795,1100.36324496558,1209.57168339472,1827.8270969213,1380.78422577335,793.079473502451,879.366368013472,592.60999163036,1295.00729045032,1792.79665471285,1289.90703673572,995.1345813001,994.505750596357,934.96021098396,1512.96810461642,635.155808277205,1109.4584529183,324.540747490387,844.473561467334
"16257","LOC111131196",479.931041045676,-0.00297842761942345,0.0552957118155667,0.800627253488434,0.985657889833557,460.457118544927,739.892623965483,472.300502389744,607.677700426556,280.456462539979,398.134624576205,655.006574135128,482.343261687565,438.739325823196,535.921015046911,506.796023790931,290.359076166715,440.139128148846,389.627682061174,402.496995118128,498.603889172238,553.818678572839,253.967557310547,440.092923512639,624.012723921465,425.862070603944,698.70546248695,443.002524048437
"16258","LOC111130518",7115.21896086509,-0.00560462013176728,0.0579631577062606,0.641272876863773,0.972734961756693,7113.50513118941,7147.19045685675,4320.3331923751,7719.33439752381,7956.88978948652,6349.93965245713,6744.53751376987,7066.96344590925,7661.60216317846,4610.0357796298,10669.0598572819,4334.57542373109,14106.2321813313,9391.80974798439,5384.83479897324,6420.69124643002,7064.14799034714,6090.72637443878,7488.71634171777,8979.46881000084,6832.2687075635,5063.62964433014,5133.54345339084
"16259","LOC111130962",3027.57667215858,-0.00842460595108448,0.0584474042097358,0.501583159359625,0.950177915356239,2756.74047694961,3898.55453740157,1273.4496671894,3423.32719582404,2891.67610240084,2969.75032327372,3021.79215604265,3324.57208658775,2515.74996402875,2620.36803195889,4309.02064782636,2534.94374346231,5271.68700085906,3479.90998389931,2588.43900908111,3118.08835474031,2853.28435587764,2425.05304723965,2937.91762453032,3563.00122274801,3027.22343897858,2631.06275717742,2198.65173156994
"16260","LOC111127888",870.837371457189,-0.000642019541967051,0.0650091204262165,0.951566683915026,0.996455899937669,830.880722290566,960.04178762921,1099.79743984539,1595.72508927801,304.890169503689,540.513894292198,1671.17501133334,248.576023018811,1054.84135783024,556.828206791264,994.775363530219,973.148849132129,811.308001165089,581.894936934499,623.870342433099,673.789039421943,1525.96120461875,570.115961986213,718.421961626038,1077.16482105491,895.141749273801,1150.28356679315,570.11404373279
"16261","LOC111130795",1530.74569491651,-0.0125598635957884,0.075478521351647,0.293243706515133,0.888632827844707,577.071956761146,1072.98788029147,2153.45539899551,1955.53425400426,1453.27439679807,682.014279627229,1633.77659356054,992.188551453806,1852.19562905147,1103.89972410183,1747.44272559596,2312.96274325294,2979.33352105703,1401.89567957305,1874.48600583585,2746.98608379715,2625.70565898192,1847.44541689619,409.167474833373,533.010868349584,1259.11063391145,456.540501056814,1536.66500529302
"16262","LOC111130794",3388.62704298601,-0.0159339865676435,0.0619390106771885,0.264075425759861,0.867593304077629,3444.42503760702,3531.00115111083,3628.24098194608,3481.5820129702,3249.68302617347,2445.05634783886,3345.55560133293,2648.65685803873,2917.92767936668,3373.02693475559,5262.39930644296,3528.90331136406,3156.29667567358,4573.66873844359,3272.68390078192,3834.37793357195,4863.34359782372,2049.72046254176,2603.68489072748,3231.49446316473,2911.75107710116,3252.35483035474,3332.5871695462
"16263","LOC111128736",1189.02056824306,0.00670295079388383,0.0708997634186334,0.522610708660379,0.954722759539962,1256.18189696149,2074.18798982303,796.115766905626,403.214714756719,1125.01285541605,1776.22533392607,978.770019425411,931.895643742861,777.906606069496,1440.50551118591,703.743983531466,1935.39684557541,414.729034152624,1283.47942326034,1646.40437526892,904.950509869779,844.540597728652,403.800924455412,1258.42787317938,2180.33017227321,768.584040656143,2700.53631168607,742.532639740279
"16264","LOC111129725",880.262400379578,-0.0187519122702802,0.0824850698966008,0.171859271200681,0.803064487624743,1229.60057354455,479.542308676206,757.526383051402,924.081315122339,1473.45876342027,1136.39750458506,929.617813209725,887.46929069269,960.714658495827,945.005066844749,1477.73692085573,860.176375811291,1024.57129006195,527.143334553353,1011.99244486844,841.718000016335,202.58450475111,525.915118678477,585.204644238428,865.446218295841,565.352683751874,1376.56885862131,658.211136583332
"16265","LOC111127827",2235.97782384283,-0.00173091035253546,0.050478429908323,0.881921120372236,0.991412334631197,2989.97015338205,1745.87858488104,1897.59100604903,1666.54467090667,2242.58936523445,2903.8339947015,2594.38166721059,2370.46326631981,1849.08400262719,2189.67988202522,3013.17833946984,1733.23557752759,1716.996351459,3139.94073190476,1467.19737982346,1566.30036702547,1752.22441771739,2352.38386417439,2970.03251354341,2934.34554701165,2047.094031363,2716.41598128804,1568.12825273964
"16266","LOC111128765",866.591288005683,0.000961037197784731,0.0559565496017027,0.934316198567656,0.994068602623906,1347.93033585219,712.134685938318,830.510652514826,745.8901097341,784.003293009486,1284.05008058683,856.958030108275,911.798007839212,631.66016412843,783.322784021753,1061.26098051269,962.247996443276,541.779504133734,818.727449559919,893.159998690704,729.765359620074,422.270298864326,533.406787035721,944.415625051447,1272.16879728037,637.407437563387,1383.51621407217,843.215031569469
