"","Gene","log2FoldChange","lfcSE","pvalue","padj"
"LOC111135639",1342.43720390781,-0.000515853060222223,0.0262815425030629,0.812409611813711,0.997763764827644
"LOC111137888",4949.25464609532,0.000395556917338952,0.020990883080793,0.877434845730328,0.997763764827644
"LOC111136931",23.5816134223825,-0.0548518472526164,0.407399916403065,0.0826106219562008,0.744314324990973
"LOC111136930",22.9635705771957,-0.0598965117545857,0.424442830573572,0.0729716362226611,0.722407542531269
"LOC144626738",15.9697269717271,-0.0319747419024025,0.332671732325952,0.197096828079597,0.899128013242607
"LOC111133909",1397.51608182174,0.003853796780752,0.0278326736109556,0.200869780412771,0.900742796965218
"LOC111133910",725.445052976723,-0.00108192276279046,0.0246742919020269,0.638042950911873,0.994450391165566
"LOC111133911",11170.3736513423,-0.00335525768869439,0.0328805322696211,0.225280622458221,0.913341392769569
"LOC111137921",5943.00693245859,-0.0013139492055454,0.0256143500667577,0.569820200674082,0.991140231518978
"LOC111133853",136.706318513204,0.00103686695908184,0.0316629790850575,0.650404624586784,0.995112515406243
"LOC144626893",53.6517247450515,0.000426953773631624,0.0419257440297378,0.879418928257291,0.997763764827644
"LOC111137332",1097.39537593734,-0.000772551961017034,0.0233348252160403,0.739512617865982,0.996693541887786
"LOC111136607",1449.51579233431,0.0140973825845205,0.0673817318500815,0.0222575525127819,0.465229092167521
"LOC111134056",115.784655704947,-0.040579628850736,0.253530638974745,0.0338632753370422,0.55630898226747
"LOC111134058",105.805882581232,-0.00127707676087539,0.035277721104367,0.598851421505326,0.992028789656087
"LOC144626894",1503.97474709167,0.000202792257965099,0.0221591030843683,0.931926802096865,0.997763764827644
"LOC111134057",5361.41911066907,0.000237287478567986,0.0268057327272369,0.912250521864648,0.997763764827644
"LOC111133348",648.300776466531,0.00132568833145438,0.027932116902665,0.559998400114081,0.990487201237029
"LOC111133442",132.589714605655,-0.00522449229549043,0.0481216160220492,0.127258945881525,0.824567218514295
"LOC111134353",2553.26556223316,0.00231615216889965,0.0301076347635013,0.351918617375752,0.965524887013332
"LOC111135467",17055.3167128974,-0.00237871886260795,0.0379909565817355,0.363194729324275,0.966292909364259
"LOC111137712",942.80436382225,0.000244271067573408,0.0246662234289848,0.911322438911255,0.997763764827644
"LOC111132961",1918.36679501086,0.00300048372458625,0.0365124320643243,0.266165548427774,0.936986271137341
"LOC111133370",19.9121339768666,-0.000589870723638194,0.0579965075016812,0.881860342382249,0.997763764827644
"LOC111134075",25.3138961403064,-0.00559008512447956,0.0970738044029171,0.364995369462954,0.967086887688112
"LOC111136887",2267.15540468679,0.00219871932919696,0.0236511975879989,0.40918942804083,0.973109588850948
"LOC144626900",12.855095429276,0.00333520067912879,0.0668545221216283,0.423734007931324,0.974390243545228
"LOC111133995",186.180387373992,-0.000787243728724428,0.0286579388386576,0.720777667971732,0.99603198252627
"LOC111137670",82.8881397622445,-0.000488028839553508,0.0559068738238011,0.898186782088984,0.997763764827644
"LOC111124324",90.1009190854191,0.0239317024387551,0.197772986507805,0.0725525403662743,0.722139248671139
"LOC111138339",40.8976964185903,0.0160181424759392,0.197666792523585,0.23916007642566,0.920703906252511
"LOC144626907",58.532955772874,0.00277817216105307,0.0703564472369411,0.543776203172103,0.990487201237029
"LOC111137932",12557.153186989,-0.00297973235244684,0.0337252759369406,0.263469193066597,0.934354334036408
"LOC111132768",464.442104388572,-0.000770625306030126,0.0689191165033351,0.873435839469937,0.997763764827644
"LOC111138458",5677.39531054641,-0.00211159318013272,0.0291452411136002,0.387029143453913,0.968873840625943
"LOC111138300",1281.949828298,0.000566934333262539,0.0248980969398545,0.79758746508362,0.996753837489976
"LOC111136155",5495.22161859063,-0.00717013229384239,0.0752641790430936,NA,NA
"LOC111136156",8605.58239130202,-0.00215249974314247,0.0235837711158079,0.417444165075002,0.973109588850948
"LOC111136154",542.277056752581,0.000132360978344145,0.0232627714633915,0.953434163587995,0.997763764827644
"LOC111136151",252.06649079609,0.00392061860799782,0.0451052257338001,0.201335315217145,0.900742796965218
