"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","svalue","pair","DEG_group"
"LOC111121445",57.193186350195,-22.1577366661751,4.13755513796015,-5.66143419315943,1.50113072342321e-08,1.21986622998181e-05,4.33496491806011e-05,"C vs. B","C"
"LOC111118035",191.2165756569,-3.1365821436632,1.58076518356969,-3.92818157393655,8.55905810624028e-05,0.0156392730367278,0.0340181474736041,"C vs. B","C"
"LOC111119078",26.3975342155364,-3.02673318645581,2.44470851735838,-3.62604176320217,0.000287798829170537,0.0364230649376483,0.0880368293145823,"C vs. B","C"
"LOC111120520",400.674513896652,-2.07812644346341,1.59790461040913,-3.64916655239128,0.000263092495921838,0.0342797311142041,0.0828434896910675,"C vs. B","C"
"LOC111119797",28.8471908616727,6.7927265843493,3.1979964325528,4.14353332502418,3.41995346712108e-05,0.00851678734392733,0.0234070764688787,"C vs. B","B"
"LOC111120444",29.2546603004675,2.86104777459227,2.02882869663842,3.69726003470403,0.000217939069692353,0.0303151282527021,0.0695399573457843,"C vs. B","B"
"LOC111118806",273.290377475315,3.16852056311921,1.40218325303588,4.0224704217012,5.75908883572911e-05,0.0119673258337451,0.0247072962071617,"C vs. B","B"
"LOC111122942",201.434363446015,1.08533524995818,1.12055839268269,3.51418481218593,0.000441105802554234,0.0475962614513208,0.160025752253632,"C vs. B","B"
"LOC111123238",38.8200284753127,-6.36590815960828,2.67383067612662,-4.20066513253068,2.66131975532757e-05,0.00708461672797546,0.0162990631426996,"C vs. B","C"
"LOC111122910",11.2709309807136,-3.2450923358018,3.25105255257855,-3.54445495006154,0.00039342573170117,0.0441781330724805,0.132573682808367,"C vs. B","C"
"LOC111124157",12.3254671625841,-3.49189860065409,2.39891621201144,-3.73892713785727,0.000184807276720836,0.0275693174161324,0.0616461109536742,"C vs. B","C"
"LOC111125216",33.3538019036447,-1.95939116692148,1.53551350864007,-3.64090553216099,0.000271680815418279,0.0349562649171519,0.0871664138146825,"C vs. B","C"
